	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
89363	335	968	831	877	689	791	549	723	370	1228	614	626
57241	149	186	372	329	445	285	291	135	248	192	257	127
50884	1413	1600	1347	1361	1000	1915	2540	1661	1830	2612	979	2953
58617	1024	651	1050	652	1720	1197	931	1083	1044	1618	1060	1428
63855	6748	2651	3128	2673	6769	3472	4973	4088	6746	4722	6277	4555
35154	1623	1351	1971	1561	1007	848	1332	1146	1105	1074	1049	1928
54710	113	107	209	158	143	76	99	113	133	112	100	204
17273	212	228	339	222	323	233	310	237	184	175	85	299
27928	153	276	277	154	327	300	265	158	153	283	218	220
23067	248	293	253	264	251	288	323	95	332	325	467	139
27203	278	405	125	214	370	204	306	211	317	224	221	382
89861	37	38	24	22	28	27	44	34	29	13	36	37
75806	1	1	2	4	4	4	2	0	2	4	3	1
30072	49	55	32	99	24	42	49	34	29	58	23	36
62493	0	0	5	2	9	1	3	0	1	2	3	6
45631	221	172	218	165	173	220	109	203	142	125	113	199
23939	163	69	210	155	194	171	143	258	118	169	170	186
15656	2	8	6	5	7	2	5	2	4	7	4	4
99646	665	636	648	596	770	705	423	759	734	733	653	515
66250	924	1136	1045	1370	1251	983	842	662	881	906	645	788
51027	158	177	119	120	166	246	161	207	241	138	251	128
99072	4499	5420	3487	3392	5815	2437	4482	5694	5458	4221	4016	5778
29114	8719	7995	5189	7315	10152	5002	6577	5513	5440	6430	7194	5955
87840	15	12	14	15	13	14	21	9	13	9	10	16
68881	2073	742	1566	731	1657	1342	1649	1677	1300	1199	1293	775
50986	261	270	464	369	478	670	380	184	220	376	217	279
92301	461	346	263	243	186	373	891	1259	867	475	506	1102
32582	518	1019	698	1287	807	550	1354	943	887	836	932	346
21802	48	33	36	57	58	37	33	57	39	38	24	49
91025	65	43	51	49	67	56	50	30	48	27	45	43
46708	35	26	51	43	39	37	56	44	20	32	35	50
61526	66	29	49	33	22	28	42	28	25	69	59	18
94979	132	100	148	177	102	98	52	191	76	148	130	227
97381	8	18	10	12	10	9	8	4	4	2	3	17
86032	13	16	25	23	14	15	17	9	9	28	18	15
80149	663	707	757	333	1336	484	374	377	544	428	398	567
15743	88	55	206	219	113	139	269	294	190	177	290	309
49061	339	332	355	344	326	215	349	248	358	150	418	285
12182	1	3	2	5	7	5	6	8	3	3	2	2
46659	36	11	24	74	33	12	28	21	15	33	40	33
19549	46	63	28	22	64	67	52	51	18	42	27	33
41366	212	202	188	144	201	210	171	203	177	206	159	161
32777	59	15	55	45	32	49	29	52	46	35	48	52
90636	1509	1551	1072	1405	1138	1298	811	1003	815	1298	1329	864
32729	116	200	217	124	224	75	202	160	153	267	178	141
73477	167	137	182	136	89	241	154	175	109	218	127	110
34761	111	151	201	121	143	129	154	93	232	127	122	163
66094	514	994	602	418	703	631	764	429	654	1398	459	476
75191	39	83	96	37	102	60	85	82	65	56	58	44
37064	1160	1260	1048	1818	1428	1850	1535	741	1431	1292	2248	1454
32918	462	479	429	574	355	533	335	381	612	450	562	299
63082	245	122	260	256	212	260	105	130	182	369	301	230
92176	178	143	125	60	90	122	112	92	87	118	126	256
29595	489	388	437	727	506	341	344	739	519	412	546	174
62976	912	1162	825	804	1811	1759	1226	1069	1595	1661	1228	1477
23972	1535	1470	510	864	890	1694	952	1320	1015	1045	1954	976
81446	266	306	481	148	327	248	241	383	487	186	358	428
34300	1779	658	644	659	1241	893	991	1441	560	853	895	994
21730	210	182	235	196	219	215	139	201	161	183	174	161
56889	1910	1593	2350	1710	2469	2059	2348	3043	1468	1552	1904	1337
76358	120	92	131	239	94	193	128	210	180	179	73	130
23539	6	1	4	1	1	0	2	1	2	0	3	2
14870	2484	2285	2800	1635	2931	2991	1887	2431	1861	1674	3308	1609
56871	339	136	156	232	112	165	98	181	160	254	185	164
45432	8	15	13	20	16	11	9	17	13	21	21	15
51648	80	161	237	87	136	55	97	96	84	88	112	177
24919	19	21	24	49	33	31	33	20	39	14	23	21
54115	13122	7057	7891	8434	9654	9588	5365	12556	8480	5056	8917	4051
50756	459	355	223	598	195	203	678	433	348	293	424	355
58276	2	7	5	5	10	1	4	5	15	5	7	3
88470	594	523	454	407	431	287	704	427	597	444	449	367
73468	70	46	49	73	80	79	113	242	119	141	151	144
20805	7360	4028	4880	7070	4431	10843	4541	5714	9447	5936	6096	6950
87914	18	6	17	15	27	29	18	19	16	15	16	14
32128	1	3	4	0	0	3	1	4	4	2	3	0
37957	132	191	287	150	300	253	85	177	65	232	170	142
94835	70	59	103	76	144	61	33	73	75	146	26	48
74314	79	49	34	133	74	63	146	143	133	185	118	146
42870	2	4	4	2	3	0	1	1	1	0	2	5
22839	378	564	393	336	422	363	410	502	246	285	421	180
54827	4187	7160	6118	3437	4492	3848	4052	4139	4219	2508	5572	5318
22938	4	0	4	4	2	5	3	6	3	4	6	2
88367	1793	1761	2007	739	1844	1353	1065	1858	2139	1870	1213	1199
95974	78	52	44	78	53	29	82	29	16	42	24	34
21146	14283	23737	18950	14297	13468	9915	22560	16582	10579	14832	16464	16789
74944	213	368	237	264	342	578	397	403	404	361	543	276
77734	105	141	133	97	135	104	163	148	144	69	105	130
18672	1222	1489	1923	2314	1556	1889	1212	763	2051	1420	1377	1406
96558	420	396	582	370	459	644	440	736	362	311	516	781
95618	61	50	46	40	49	41	106	28	33	37	50	34
58921	923	458	434	468	488	485	562	395	609	297	407	602
35233	28	56	86	52	41	59	75	44	87	44	56	50
38137	6	3	10	1	7	4	3	6	6	6	6	8
20614	7494	9574	7590	9273	10759	8213	13070	5281	16639	11008	9814	8166
39183	99	109	119	95	107	111	51	80	58	109	42	72
83073	53	72	54	57	33	49	41	27	52	68	30	96
83551	300	419	197	243	253	440	134	232	463	374	282	224
74725	14	8	5	4	3	9	14	13	10	7	11	11
34876	9	9	5	10	7	6	5	14	16	4	22	8
85453	57	68	102	86	39	52	75	46	46	40	32	39
58316	54	71	49	51	62	53	83	94	74	73	63	39
53914	173	233	208	204	156	144	111	226	234	201	196	327
33833	1173	1697	1696	2114	1074	926	1600	1763	1338	2264	1271	1983
98615	49	63	55	69	54	60	123	117	67	199	97	139
42357	247	372	488	439	790	522	766	992	1153	966	915	704
44909	365	438	549	475	464	687	714	382	508	251	421	440
83758	12	25	17	15	33	12	26	26	16	13	25	19
80755	297	258	241	270	89	233	482	314	704	541	310	432
41750	14	22	27	15	14	29	25	35	23	14	27	29
82087	1158	1020	1372	1834	1461	2339	1047	1797	2420	1215	1472	870
41858	456	564	381	385	221	548	273	359	384	212	347	378
54764	175	150	136	167	218	153	117	162	164	160	174	213
23285	7	25	6	3	16	10	9	13	12	7	6	12
99803	138	192	244	120	121	104	284	117	155	269	233	161
56683	36	55	30	55	30	37	15	23	48	47	40	29
41760	472	780	524	335	656	1063	1339	571	538	581	618	567
40975	124	124	107	154	97	97	153	114	95	100	125	148
67672	25	30	21	33	41	40	30	28	38	33	63	36
98940	944	1437	726	1614	967	1092	1098	1045	906	1037	590	577
13019	663	832	515	1141	703	582	528	851	800	565	644	567
87501	62	61	38	65	62	62	32	32	36	29	39	47
68096	527	1963	1181	1520	3388	970	1718	1539	1021	1564	1501	1348
31167	82	74	99	76	71	96	31	88	39	64	78	75
39956	87	51	129	57	89	129	79	113	40	125	122	127
95855	218	218	152	232	207	122	213	289	202	160	302	213
46834	26	37	25	53	33	58	66	24	34	38	48	41
25887	99	47	66	69	53	50	74	60	44	90	108	71
69227	80	131	138	100	78	111	109	94	88	144	116	103
48481	3375	1233	2424	2233	3432	4180	6121	3390	2542	2957	4743	1837
81989	4391	3747	3969	3843	4576	3504	3299	2498	2535	2804	4021	3651
69070	49	86	103	71	56	87	108	42	81	125	84	84
55129	3446	2643	5338	5556	3908	3426	6217	3162	3859	5133	4305	5812
90954	106	166	218	181	115	246	118	125	102	250	86	128
75591	388	207	309	227	414	475	159	326	315	369	389	380
15423	991	827	1168	754	1299	862	951	856	703	1163	1616	1446
36515	223	218	392	383	274	223	237	254	245	242	327	403
69355	32988	27799	19862	12314	14613	21140	19576	15231	17228	19350	27084	24432
44817	280	242	401	218	212	90	315	191	152	268	235	413
44552	14	7	14	18	16	23	16	16	11	7	13	12
53687	1834	3130	2710	1551	2682	1544	1759	1791	2472	3662	3541	2717
80613	99	88	49	52	96	95	107	65	55	83	57	75
64082	97	83	77	34	78	23	93	59	113	83	72	53
71615	1	2	1	0	1	0	1	0	0	0	0	1
13859	581	1191	681	1660	920	1546	2039	1109	1211	1037	927	1252
35909	600	1008	649	581	809	929	560	591	954	479	401	727
68085	542	853	681	939	662	820	651	857	896	870	461	865
20975	851	1400	956	1490	958	1448	2762	1718	1153	1814	2088	1982
81785	4352	4101	6765	5381	2134	7329	3365	4700	4253	1861	3734	2836
67278	107	148	114	85	109	138	366	313	314	132	271	300
38830	895	667	1247	657	1183	1428	1501	772	657	1117	1313	1766
34667	56	21	25	60	28	33	39	41	25	40	38	29
82992	56	127	80	67	73	71	33	82	88	54	58	121
100125	1317	1339	1262	1249	1176	513	1505	929	1186	884	1177	1742
70143	375	535	482	382	518	369	102	374	396	396	351	289
29879	2	7	11	11	15	11	11	13	11	8	5	15
13046	138	334	378	294	220	311	248	329	197	225	173	285
98623	82	126	83	107	92	80	119	86	134	143	82	79
56172	33	19	46	30	37	32	19	19	32	32	12	17
48206	428	301	370	267	355	316	731	597	934	579	644	668
56306	130	45	58	82	42	78	45	44	81	50	79	41
74259	12	8	7	7	11	9	6	5	9	8	4	9
43637	21	25	23	13	29	13	8	7	23	16	32	13
82243	9753	4680	3646	5306	4109	5341	6961	3186	4718	4203	7006	4757
86504	9	13	3	1	6	8	10	9	6	3	6	10
48992	223	430	338	168	208	247	189	282	297	214	356	171
37357	457	641	474	433	565	578	622	916	531	671	621	247
43161	906	427	634	320	740	394	471	626	379	504	524	445
40247	12	11	11	5	25	6	9	24	6	15	18	5
25216	100	98	53	89	36	100	33	73	54	77	80	58
97675	246	146	212	170	276	201	373	153	122	205	199	101
97053	768	938	1550	900	824	592	991	489	618	868	711	615
41139	28	32	38	14	40	37	99	104	118	76	37	48
66457	18	5	13	10	22	23	29	15	10	10	23	12
84955	1452	1018	900	2098	673	1036	845	590	546	1219	1646	1207
77322	859	937	1281	2184	1842	2572	2220	1475	1464	850	1344	838
43202	254	147	449	291	407	156	272	445	349	584	388	313
41470	52	58	27	45	40	64	51	40	46	37	52	37
24743	353	266	313	273	381	178	214	213	315	369	263	395
30735	155	138	383	263	151	143	275	207	175	119	139	301
74649	1173	750	525	741	489	1271	868	1829	453	551	1481	685
70078	8	14	12	26	7	7	7	21	15	18	11	11
32886	340	180	339	321	134	222	335	350	309	174	165	181
26136	105	104	132	136	61	119	79	136	88	243	51	97
54163	13	7	22	21	24	11	18	26	28	23	17	26
86846	119	221	163	284	297	388	223	232	283	403	180	334
72295	153	136	170	142	159	154	218	222	63	170	163	202
69213	126	125	64	89	62	39	62	103	85	59	25	55
80828	287	200	408	319	394	229	305	296	400	635	408	186
85244	11	7	10	19	8	9	6	8	8	13	4	15
84129	143	163	196	94	79	125	172	208	134	73	96	171
47713	319	440	526	435	240	314	370	409	241	434	465	370
38117	284	162	423	387	427	303	140	126	290	532	163	352
44155	1308	1616	1495	1565	1036	1794	998	777	1098	1088	1865	1588
58526	20	7	17	25	17	15	17	38	13	29	9	10
21854	9	14	11	5	17	7	11	12	7	7	4	10
37946	168	314	347	183	213	235	192	378	136	223	195	310
55874	233	274	399	387	380	384	318	581	521	415	307	473
62096	6262	6261	10175	9799	17255	13086	8593	9013	9311	7738	11452	15179
70278	425	583	562	574	683	676	404	635	487	400	554	467
19431	17	12	18	22	52	10	32	11	20	30	21	15
85391	1207	1111	572	598	1456	423	399	933	457	509	1509	1045
49559	24	45	36	32	23	16	19	39	34	44	26	16
88754	11	3	8	4	5	16	17	11	12	9	5	3
46650	39006	31250	32173	23348	24413	49392	35178	33952	26561	23988	24804	24280
89942	488	199	184	145	255	500	273	393	315	356	161	222
87631	386	702	566	681	606	694	623	589	440	271	739	537
49691	451	259	726	407	600	604	1045	411	561	1061	1226	664
99929	4574	5088	6454	4651	5512	7920	5113	4476	4377	5825	6936	6857
45386	403	331	186	287	145	351	460	220	114	330	130	214
80882	2704	2857	2149	1869	2267	1733	2275	1841	1651	1905	1427	2204
43929	16	15	17	16	14	37	23	9	22	20	11	15
46873	3	8	10	8	8	11	2	1	8	12	10	6
48978	1942	1497	2292	2952	4897	2022	2499	3459	3046	1896	2265	2346
14453	1253	4124	4043	2786	3532	3780	2444	4058	3963	2698	2741	3535
42502	374	435	314	316	425	451	182	248	560	359	796	345
19814	299	247	167	177	136	246	134	264	127	361	283	297
12833	95	153	211	230	295	285	196	161	456	200	208	296
81593	37	37	40	28	14	36	52	37	25	27	25	30
51062	2662	2161	6391	3193	3076	3548	3934	2558	6255	3308	1786	2020
89656	682	322	516	598	564	491	595	479	397	498	259	414
92174	666	319	335	336	621	541	406	434	557	288	224	363
55150	296	355	334	460	204	259	321	311	383	383	239	444
85509	1287	1522	1285	650	1497	1084	608	994	726	1039	1235	1106
53237	395	329	380	456	313	393	514	496	714	525	269	391
93566	792	784	902	837	1207	608	575	398	747	659	636	732
57122	17	22	14	16	15	23	8	16	14	10	18	18
88657	429	476	90	362	409	254	401	483	261	472	617	281
72683	12751	9618	9436	14725	11428	8737	11797	19825	6677	8583	12122	4896
17101	36	58	40	59	40	81	60	46	62	66	60	46
34173	175	109	142	111	53	125	137	157	72	146	79	88
81549	971	782	1148	459	2077	879	827	830	896	1107	819	661
99531	520	935	1334	888	1365	751	792	1104	1268	886	1848	839
94956	638	350	234	446	608	476	473	388	607	444	627	379
76505	6	6	5	6	12	6	9	3	4	6	7	8
44784	299	332	256	220	435	424	259	442	430	200	259	457
86762	11	11	13	11	10	12	16	16	15	21	6	30
57559	21	20	40	51	55	39	33	50	22	21	41	25
26560	676	397	397	422	569	289	438	428	372	429	548	401
34786	110	78	131	95	89	89	106	104	128	137	107	106
71519	608	973	1030	477	832	1175	967	761	710	1001	846	630
42944	41667	52444	92252	52986	90086	31590	20751	55596	38812	73702	40617	72579
53095	545	920	592	654	1024	853	508	566	678	839	548	489
58296	475	418	493	572	746	585	841	442	378	587	652	989
45925	8	37	26	25	23	24	27	27	14	11	25	17
20585	29	42	54	21	56	66	28	57	65	12	69	35
77699	25	34	22	27	30	17	15	13	30	13	25	22
74607	46	53	67	79	41	78	69	34	70	60	53	54
22421	12	7	9	15	11	15	13	25	19	24	17	14
92560	35	40	49	30	51	19	44	43	37	35	31	33
15681	75	68	87	68	98	82	115	176	70	86	101	132
27535	19	12	35	42	12	14	24	21	18	18	27	17
42243	6	10	19	6	5	3	3	10	5	15	15	14
38548	5	8	7	7	6	5	12	7	11	13	14	9
12095	203	162	435	462	454	369	350	238	346	347	417	606
30262	169	108	118	83	283	164	202	252	151	62	135	101
100608	614	1439	1591	1610	1634	1116	1962	1071	1298	1523	944	891
87193	1505	1014	804	1017	1307	2092	1149	1264	795	1656	1577	559
46742	86	100	88	50	26	100	97	132	79	87	43	87
32338	586	466	722	587	826	614	659	574	851	632	622	591
35460	7	11	5	5	11	10	15	7	9	4	10	7
35584	20783	7826	24514	12544	15719	18222	9503	12016	9617	12803	12391	13025
75258	1738	2562	1556	1203	1361	1295	2830	1683	4026	2544	3772	3099
100457	85	99	108	73	106	124	125	228	262	273	109	180
73533	15	13	19	18	21	30	21	13	16	15	6	7
21019	298	271	355	320	403	337	738	230	272	332	510	176
22732	5	7	10	3	4	3	3	0	2	9	3	3
27860	28	33	24	27	35	47	31	36	46	33	36	36
89581	623	897	1079	467	990	531	1144	2239	1819	1193	1206	1611
55674	151	156	233	173	99	175	100	121	102	164	132	183
13075	39	89	67	49	69	74	74	35	61	45	45	106
31537	1398	1554	487	807	1031	1455	1300	880	1523	2994	2962	2072
81649	13	15	13	16	17	10	48	42	105	60	35	34
68448	298	323	203	275	354	281	154	450	221	360	324	177
29451	31	78	51	40	78	44	36	71	102	79	66	43
34198	26	23	13	23	55	9	36	39	47	31	39	24
47666	294	462	689	515	404	506	468	627	367	207	678	474
17209	14	26	27	10	16	8	22	27	18	40	21	17
76823	7006	8012	5848	5965	8160	16937	9790	6586	3860	9733	8567	8034
31716	57	70	65	35	52	46	101	74	116	137	55	96
77484	11115	10256	10994	10812	5443	6851	16961	21637	18686	15827	12479	25391
87817	21	25	17	17	10	16	14	13	9	16	21	11
53004	435	444	346	499	751	386	525	414	256	872	395	578
97277	16	15	11	11	32	25	11	4	12	11	9	17
49398	18	10	16	7	12	12	12	6	9	14	5	7
72601	138	179	239	281	255	218	125	282	166	333	197	207
41181	364	573	1227	636	923	451	591	543	363	801	579	306
39378	6	13	20	18	14	12	26	16	6	13	6	15
99653	2408	2260	1587	2407	1648	1583	2317	1228	1075	2048	1368	1663
99174	17	21	43	32	53	35	23	40	43	42	18	52
11725	174	109	169	131	150	211	450	252	379	342	445	477
53843	244	407	300	248	299	519	311	332	389	428	212	232
77202	630	413	587	331	431	577	642	462	645	531	547	597
67383	4	5	6	10	4	1	2	8	5	6	3	6
55076	4520	4393	2184	3934	6511	4756	4688	3860	1721	4836	5510	2970
52393	581	743	735	272	656	445	608	621	223	357	1078	609
86459	53	105	14	60	63	46	72	93	59	81	48	22
36641	16	12	22	12	11	15	19	13	19	15	25	34
34230	3	5	4	7	2	6	8	4	7	2	5	4
12757	11	5	11	13	16	5	12	9	13	20	9	14
55475	476	408	541	345	280	456	274	555	571	335	565	487
61484	129	96	75	100	94	50	245	127	236	181	300	249
39504	10	8	15	9	15	20	11	15	20	6	23	11
92864	62	75	82	46	44	29	49	66	42	53	64	72
50649	4652	3401	3235	1760	3672	2660	2172	4509	2305	2023	2721	4394
62268	81	41	63	85	82	70	78	54	114	64	34	50
79134	77	33	55	49	59	59	75	54	37	27	45	41
48046	1996	1703	2020	3047	2877	2867	5009	6995	2356	4195	5590	3794
97428	290	184	729	585	290	434	276	304	333	320	497	601
64911	163	210	236	201	241	145	93	230	172	96	196	175
54040	35	45	63	77	24	52	73	141	105	66	135	40
88339	10	6	8	13	12	8	4	3	9	14	17	3
75428	20	13	14	17	14	18	34	8	43	39	31	54
59814	48	71	38	94	71	47	51	44	67	57	59	55
64894	83	130	85	95	46	152	44	130	70	68	103	113
11827	412	431	199	512	261	107	274	295	374	305	299	163
85002	330	523	402	332	455	295	415	401	280	179	653	520
94743	127	340	144	278	108	293	262	161	198	180	173	147
89128	309	305	181	179	416	295	187	249	330	171	151	253
26903	18	28	27	19	29	15	10	15	20	19	26	20
51912	2	4	3	1	0	0	1	5	1	1	3	2
23058	63	49	35	67	53	50	43	95	38	67	18	27
88386	21	25	21	17	12	16	21	19	33	26	16	22
55464	28	57	29	33	41	58	47	64	30	26	25	41
19451	131	95	113	156	63	73	192	135	287	169	299	196
20145	22	33	12	26	11	11	14	19	9	13	27	6
21423	15	16	12	29	22	19	19	7	24	15	13	20
34251	112	146	221	207	136	149	157	170	178	162	193	135
38588	166	271	248	221	128	157	196	146	256	146	106	195
76300	42	37	53	55	52	26	24	47	33	32	40	44
63955	445	272	431	670	536	230	449	412	526	319	717	417
69872	62	93	50	95	35	118	88	90	123	165	139	111
27014	32	24	32	33	17	25	17	28	21	20	23	9
91930	166	124	276	207	200	180	242	181	161	253	103	220
99587	5869	13170	10724	4922	7215	10998	13881	19308	15296	10527	12281	12177
37969	23	39	54	20	51	37	18	57	42	22	38	52
91128	1252	1337	620	1395	1751	1300	1480	2160	1082	1038	1076	1237
89955	2199	2793	2383	1565	3365	1651	1603	2323	1886	3330	2952	3818
63069	2035	1717	3840	3704	2089	4636	4213	2979	1979	1417	1856	1876
98188	32	42	16	29	34	22	72	38	35	67	66	95
28261	8275	9570	5551	7964	7576	5710	15537	9440	7905	4476	13987	6754
91939	75	157	261	313	188	161	265	214	146	214	164	261
68367	63	122	136	113	79	103	118	75	67	128	49	57
23694	75	152	98	115	48	93	52	72	144	81	101	172
52987	329	532	391	250	564	409	712	521	273	683	337	413
21224	82	147	145	160	250	215	200	114	248	185	128	249
62073	110	40	104	156	177	69	72	144	180	128	107	95
30542	2414	1598	2737	3101	2123	2192	1607	1976	2967	1464	2063	2147
85883	20	27	30	33	39	37	91	59	57	64	99	49
94453	7	14	20	28	24	23	31	10	15	12	14	29
36345	527	640	654	713	1096	571	438	512	691	437	1399	761
96202	892	846	571	902	858	452	912	563	783	607	686	701
24448	1406	1024	1623	1854	1003	2287	916	1701	1556	2490	1256	1652
76294	26	11	15	28	12	8	15	13	17	14	14	8
82637	2212	1360	1697	874	597	1663	1031	1169	1148	827	1055	2005
90583	417	425	473	572	180	335	827	339	513	336	535	225
84232	3608	4074	7084	5911	6503	1825	8910	4519	7528	5913	5635	10942
93725	20	5	9	14	7	8	15	10	9	14	8	18
37675	137	325	162	242	262	213	124	238	304	226	326	306
71442	126	104	93	84	108	88	245	217	239	304	184	217
51278	4	6	5	6	4	3	5	11	3	6	5	7
39975	48	20	29	69	54	33	39	27	46	34	51	59
28343	1539	1597	2160	2084	1276	815	1849	840	1696	1869	2343	1769
22526	61	67	87	63	68	47	46	67	68	55	48	54
32719	36	39	34	25	30	35	78	75	101	92	54	76
77845	1386	1045	727	856	911	1005	1072	639	617	891	1082	864
60781	648	859	1311	780	1213	1944	825	1614	1593	1319	663	1183
67514	791	1503	1491	1279	782	1321	1340	1179	808	1136	875	1101
78045	42	17	22	52	24	37	34	35	48	17	38	60
72822	187	140	131	153	99	148	77	113	205	118	188	64
82038	1750	553	2389	730	1505	1111	1306	1540	1383	671	1115	1630
73224	30	16	33	47	38	38	63	48	29	53	24	14
38655	27	23	49	68	51	36	93	99	55	87	76	63
45556	552	485	1090	604	993	876	1614	1779	2933	1838	1226	1069
78340	5331	3992	3470	3127	3306	3646	4600	2952	2839	2421	3859	2673
46463	11	18	32	19	8	19	28	19	23	20	22	21
85515	1	2	0	1	1	2	0	1	1	1	0	0
91223	14	12	6	18	7	3	11	7	5	9	12	10
34625	20	10	17	36	38	9	24	21	19	15	11	18
36728	156	85	128	131	161	141	95	126	298	72	96	89
16226	558	328	574	472	782	494	575	559	217	599	787	718
96516	86	100	44	184	134	114	151	123	141	68	63	96
24634	20	38	80	29	45	21	65	29	36	55	50	51
58134	96	120	184	205	221	91	374	475	315	349	319	430
88369	17	23	15	24	31	39	20	29	20	14	25	12
72676	135	168	229	163	245	167	82	118	139	121	232	235
80445	54	82	49	58	64	29	96	46	68	74	104	46
100620	15813	34438	37500	55501	36214	24634	17712	30677	29272	35310	26992	47543
35734	711	775	554	721	1288	717	719	1283	988	1123	563	691
75753	21	30	46	31	24	32	35	19	33	37	17	37
95432	15	17	28	16	30	28	36	34	15	21	14	15
50593	43	96	82	75	52	46	161	167	182	87	178	102
93521	4	5	3	2	5	3	3	12	7	11	5	5
90864	21	48	33	28	34	23	38	28	11	38	36	50
28364	34	53	30	40	30	27	19	26	34	45	37	30
26944	1019	1008	1355	899	1298	831	1165	1077	819	613	1068	1234
19834	108	65	61	103	77	74	40	55	68	73	79	48
64811	21	35	51	45	20	16	30	40	55	62	31	23
81796	8	7	4	14	6	6	7	12	4	7	11	18
81116	18	7	18	11	18	22	11	12	11	15	24	13
86651	88	141	215	157	103	155	140	114	141	287	153	134
77115	106	90	160	85	97	51	172	207	296	226	147	243
54736	1530	1203	1358	2429	1988	1181	2943	3605	3159	2381	2946	1094
83855	37	44	57	55	57	27	47	53	25	53	37	36
18491	1153	1501	835	2024	602	1503	1106	855	944	1476	997	2246
45132	245	312	351	346	178	444	530	377	387	632	721	743
80629	133	161	147	202	173	203	186	160	105	120	165	140
79470	5	3	5	3	3	3	5	2	5	2	0	3
31748	11	21	17	8	6	12	7	21	15	14	18	10
58903	796	721	514	886	763	845	1321	562	489	748	659	506
88910	1821	2134	1293	2119	2494	2259	2791	3543	2214	1551	1670	3316
95888	161	357	196	176	124	206	345	151	135	218	251	225
95009	816	536	1160	591	455	728	1312	449	910	975	978	430
47582	35	92	50	44	59	89	61	87	112	161	112	63
26228	105	46	107	28	79	73	85	56	87	79	88	89
81992	44	40	63	71	50	20	29	48	36	36	21	70
57950	1338	864	1659	688	1293	1116	1139	1214	958	922	1103	1065
60722	223	376	228	424	374	307	258	285	137	286	359	332
89647	119	84	121	98	92	104	120	101	50	81	52	101
88194	50	91	94	95	93	117	37	45	83	60	106	51
67759	368	371	461	601	542	442	750	770	490	581	550	500
54185	338	440	521	396	220	373	598	675	706	585	846	992
94539	18	17	21	32	43	16	26	26	30	9	10	27
14243	4057	4529	3772	2442	5391	4554	4504	4317	5125	5091	6836	6813
47717	258	207	438	196	360	198	201	228	178	298	274	217
14838	129	200	174	128	191	152	159	144	84	161	173	66
12509	3244	1439	3316	2409	2468	1942	3406	5111	1547	5047	3436	3780
80890	998	1813	1531	907	1327	1583	1348	1644	1844	1074	1569	1379
13694	142	113	105	148	142	162	156	58	51	72	128	122
79590	455	600	514	511	440	365	381	405	288	634	268	367
18115	18	18	21	23	13	16	27	19	48	44	13	48
58509	36	43	34	41	49	50	37	39	50	56	41	26
46563	1	4	1	2	2	5	3	3	1	2	1	4
87948	2742	2095	786	1001	1871	1979	1595	1323	989	1370	2215	2731
45939	4	5	2	3	5	5	4	5	2	2	3	2
89689	733	535	382	403	420	806	424	368	859	689	701	710
85487	32	30	16	45	22	50	42	23	24	23	34	24
21623	17	37	29	22	30	29	25	13	23	26	17	19
14129	49	61	97	69	101	128	123	131	146	152	61	76
40262	244	161	214	215	240	312	229	329	386	243	430	284
17819	296	370	597	634	464	459	1178	1459	1164	608	996	1464
82910	5567	5836	5885	3951	5096	5636	13711	11220	10283	14213	11378	11867
86672	227	395	396	463	413	186	192	235	314	293	165	242
20653	365	1203	1372	1420	1145	1181	987	1070	1095	951	836	890
50271	32	74	67	22	86	31	66	51	48	64	30	63
33482	749	756	793	779	541	669	493	276	586	1237	796	500
85115	220	167	137	274	142	269	199	345	232	249	189	235
53011	75	80	31	60	51	80	142	115	68	113	81	172
92743	140	132	93	125	129	192	150	111	100	124	82	134
32963	124	146	168	149	70	149	105	184	79	257	135	213
100008	322	247	265	299	193	208	278	162	252	228	234	257
34937	248	469	364	338	534	464	431	552	418	470	320	256
30062	58	31	77	43	60	27	44	76	70	49	41	68
100936	36	33	37	32	27	26	42	12	30	42	32	23
89364	730	895	613	609	344	631	1227	565	619	767	433	660
70261	5	5	5	3	6	0	6	4	3	1	4	3
57777	24	46	27	38	59	57	34	54	33	47	44	19
100753	3884	3393	2743	3113	3882	4690	7787	6170	7049	8097	5837	3943
70152	1	0	0	0	0	1	3	0	2	1	0	1
65804	46	43	21	50	13	24	31	44	32	35	57	26
92032	984	393	344	681	411	444	366	456	451	461	720	397
59735	9	3	3	2	4	6	9	6	7	7	16	4
77205	25215	21173	47274	25597	25007	38378	25047	18059	30454	29681	38121	24433
54561	1	1	1	0	1	2	2	4	2	0	1	1
47826	1942	2035	2983	2460	2622	2687	4364	3432	3573	2857	2584	3188
28092	4435	4084	3372	2136	2493	2313	10544	10254	5810	2896	5413	8301
66559	1241	530	625	854	793	1329	807	1184	1003	992	793	933
85286	75	125	76	150	180	42	78	46	162	87	90	131
30503	233	214	316	418	248	421	271	228	332	203	255	577
31973	26	31	23	24	21	21	39	21	26	17	16	12
100909	1075	614	716	758	679	705	535	1324	652	1107	640	783
32291	23	17	22	13	18	10	11	21	18	20	13	17
91413	130	62	139	168	69	83	186	271	152	197	118	85
63562	1001	2139	1131	763	798	1540	1052	1472	1298	1398	1268	918
60069	17	24	19	21	14	18	12	14	14	20	8	30
65669	25	49	79	70	76	85	54	53	103	81	130	81
