	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000171313	21	22	17	3	19	10	24	5
ENSG00000220240	3884	2109	2665	1525	4667	1388	4980	2463
ENSG00000205670	1601	794	1857	797	1163	628	1146	679
ENSG00000246458	16	12	6	2	6	11	10	14
ENSG00000249707	1622	1030	1848	1187	1606	1305	1575	1831
ENSG00000117927	28	41	29	28	30	12	30	23
ENSG00000247754	18	27	12	44	17	35	39	45
ENSG00000231238	3974	3494	3311	2075	2168	3987	2629	1397
ENSG00000126518	10	8	18	11	14	5	14	9
ENSG00000230098	1	2	1	0	2	2	2	1
ENSG00000141289	339	203	287	170	277	189	197	201
ENSG00000129271	65	42	118	91	62	80	163	111
ENSG00000246711	7	20	29	15	30	11	48	17
ENSG00000146500	3409	700	1371	590	2498	1579	2846	979
ENSG00000201073	7	4	6	7	4	6	5	7
ENSG00000134722	15	16	25	7	9	17	20	19
ENSG00000152846	840	572	408	721	586	456	484	1154
ENSG00000248104	33	37	43	34	47	40	46	36
ENSG00000239891	13	15	7	12	20	34	18	16
ENSG00000196848	168	68	129	54	274	92	76	43
ENSG00000222299	15	21	7	10	16	9	7	11
ENSG00000246081	7	6	5	12	10	7	11	4
ENSG00000191311	120	261	144	125	98	94	104	147
ENSG00000134994	50	23	37	61	56	33	52	56
ENSG00000189272	78	120	59	96	106	59	76	35
ENSG00000114149	26	16	36	23	28	22	30	30
ENSG00000209147	176	238	353	160	191	243	495	315
ENSG00000174780	260	238	219	263	372	129	290	353
ENSG00000201278	1117	503	851	977	541	639	712	497
ENSG00000207485	41	48	42	48	42	48	28	64
ENSG00000106291	48	55	35	25	28	28	41	39
ENSG00000182421	6	13	12	18	8	17	6	16
ENSG00000165922	187	179	178	253	281	312	271	227
ENSG00000229136	448	623	1019	740	525	675	517	737
ENSG00000154674	668	623	455	979	536	1253	586	621
ENSG00000231875	604	571	692	479	491	701	789	413
ENSG00000246810	715	764	1708	1768	1423	667	1823	1298
ENSG00000201772	4704	9508	2886	3071	4820	3151	2088	3759
ENSG00000207483	221	113	191	146	131	122	253	281
ENSG00000186927	427	788	376	370	473	422	595	628
ENSG00000213166	120	25	66	29	59	41	69	18
ENSG00000109736	741	197	641	222	596	289	565	255
ENSG00000245502	540	1283	701	1275	1005	1269	665	817
ENSG00000124508	58	30	30	56	56	52	24	35
ENSG00000211786	10698	4986	15782	5005	16513	8651	15822	4235
ENSG00000193313	718	755	406	400	389	517	620	403
ENSG00000243234	726	492	579	669	742	1184	537	743
ENSG00000236005	340	243	180	323	156	379	304	172
ENSG00000152348	6132	5365	3610	9288	4815	12260	9374	9030
ENSG00000106431	288	171	266	350	137	313	214	298
ENSG00000193234	1203	837	563	1008	1071	1165	741	790
ENSG00000196008	298	213	129	245	419	237	91	245
ENSG00000184877	48	83	61	82	74	43	79	66
ENSG00000218312	246	133	102	82	109	171	100	113
ENSG00000136997	51	69	57	80	43	69	52	60
ENSG00000109818	92	69	72	33	100	63	71	69
ENSG00000191776	770	490	1007	499	534	891	1010	704
ENSG00000203696	36	53	22	24	29	51	55	40
ENSG00000204238	74	158	75	75	124	118	61	59
ENSG00000107052	801	831	417	666	811	456	628	576
ENSG00000172230	2245	2550	1775	2182	1665	1599	2323	1369
ENSG00000218618	240	179	252	282	272	289	318	205
ENSG00000138001	83	104	62	73	82	96	88	112
ENSG00000147292	28	10	11	12	3	27	14	10
ENSG00000154440	402	625	559	222	599	706	323	865
ENSG00000204313	18	28	27	51	15	22	32	24
ENSG00000157803	67	55	54	63	47	59	57	105
ENSG00000141860	910	839	1380	1130	1446	796	1544	686
ENSG00000158384	57	100	64	38	92	31	43	112
ENSG00000159076	604	522	185	410	474	485	618	436
ENSG00000116395	329	558	485	438	212	570	648	258
ENSG00000179867	57	62	56	59	29	26	55	27
ENSG00000105242	118	165	124	64	73	104	70	75
ENSG00000131132	1543	2908	1637	1731	3591	1457	1197	1283
ENSG00000242031	336	286	248	233	262	253	287	441
ENSG00000215506	311	199	108	314	255	554	206	213
ENSG00000150997	13	18	12	8	10	10	21	9
ENSG00000213531	124	233	118	156	95	86	148	86
ENSG00000155141	1344	998	2372	2973	1620	1477	2379	1580
ENSG00000144754	118	139	81	134	43	146	81	96
ENSG00000131551	285	240	283	386	624	249	312	414
ENSG00000242804	1180	977	734	474	1332	1561	1449	881
ENSG00000156556	14540	28928	13877	19571	14936	16927	18298	15693
ENSG00000171442	4	5	6	3	6	2	2	1
ENSG00000225812	1165	1258	1674	1159	810	1522	1306	1635
ENSG00000238144	1207	1981	1694	812	2516	890	2737	1061
ENSG00000166411	233	183	119	162	201	123	233	132
ENSG00000116492	5992	11060	7437	8260	10222	9723	4102	6106
ENSG00000159673	3	13	24	17	5	13	17	25
ENSG00000117134	7	8	4	8	7	8	8	5
ENSG00000107968	125	97	184	137	132	174	136	175
ENSG00000199673	1259	405	1174	565	613	757	979	566
ENSG00000209287	34	32	9	13	36	9	15	19
ENSG00000192320	145	118	112	198	207	211	151	111
ENSG00000129238	117	43	44	29	77	30	56	40
ENSG00000201985	4559	8182	9503	6553	11247	7674	7049	3309
ENSG00000130610	44	66	56	82	34	31	34	48
ENSG00000173297	1959	1445	1633	1948	1078	1223	2380	3100
ENSG00000119521	2	4	3	5	3	2	2	4
ENSG00000204775	151	200	82	137	156	125	136	180
ENSG00000104967	130	101	159	113	138	238	141	115
ENSG00000234773	10	14	8	6	4	7	12	7
ENSG00000205310	70	100	140	88	73	67	78	64
ENSG00000244128	352	407	161	531	451	333	277	192
ENSG00000198055	102	92	97	131	36	90	68	40
ENSG00000166760	28	36	52	48	54	24	39	57
ENSG00000192829	97	135	165	135	138	129	129	117
ENSG00000198724	173	203	221	435	303	175	388	333
ENSG00000237997	625	290	340	520	421	477	310	715
ENSG00000224038	55	26	38	71	74	52	26	29
ENSG00000203588	911	240	1279	603	768	481	1053	756
ENSG00000224915	107	170	34	112	141	110	129	97
ENSG00000193846	12874	25095	12517	24586	28361	24753	28496	8404
ENSG00000175568	305	75	333	192	264	151	184	206
ENSG00000184327	157	310	185	188	211	117	155	253
ENSG00000146010	23	27	48	14	39	18	45	13
ENSG00000189516	4781	1791	1291	1965	2212	3790	2712	1861
ENSG00000206052	46	46	99	101	144	122	54	96
ENSG00000184921	269	447	217	330	385	291	225	541
ENSG00000123373	920	719	1358	1343	794	627	945	807
ENSG00000243715	138	124	182	90	214	67	130	86
ENSG00000143846	325	327	179	213	264	354	161	344
ENSG00000113947	61	109	61	58	64	70	78	142
ENSG00000192478	29	18	23	14	27	31	21	39
ENSG00000243080	11	3	9	15	11	10	10	13
ENSG00000243480	4	4	4	0	1	4	1	4
ENSG00000215081	28	19	22	26	17	11	18	11
ENSG00000223503	1	6	4	1	2	3	5	4
ENSG00000154312	546	391	468	717	464	467	697	515
ENSG00000166439	16	14	6	12	13	4	23	9
ENSG00000154773	25935	25242	23175	21178	25550	30338	28764	28457
ENSG00000178288	115	129	87	112	70	41	92	81
ENSG00000137870	47	22	29	56	27	60	48	22
ENSG00000222709	6601	1365	2890	2291	5767	3262	2371	2720
ENSG00000242131	128	216	379	210	293	199	268	342
ENSG00000124734	105	60	103	59	87	71	53	74
ENSG00000179191	88	87	112	137	100	42	91	80
ENSG00000236332	3426	1528	2961	2209	1470	2436	1480	2629
ENSG00000106586	29	40	28	40	44	13	34	33
ENSG00000110433	5	13	10	9	16	11	7	18
ENSG00000211522	94	97	95	112	185	96	65	116
ENSG00000107727	236	282	181	365	477	134	148	389
ENSG00000132416	3	0	4	2	2	2	1	2
ENSG00000121104	9	14	10	4	8	10	7	11
ENSG00000131027	23	18	47	27	61	17	97	30
ENSG00000175083	72	92	54	40	35	34	46	71
ENSG00000192165	133	125	112	122	94	196	127	103
ENSG00000245731	3	4	1	3	4	4	3	2
ENSG00000228194	91	65	51	36	70	50	65	63
ENSG00000199067	0	2	4	6	5	9	3	6
ENSG00000177208	632	361	351	629	1099	544	1762	595
ENSG00000205616	72	34	113	91	94	60	47	37
ENSG00000223081	557	474	546	684	915	542	841	353
ENSG00000219966	1644	2190	2507	1552	1766	2936	1481	2000
ENSG00000211960	219	218	141	188	208	156	316	235
ENSG00000159999	165	158	108	180	154	107	183	140
ENSG00000204877	58	41	31	41	33	27	27	40
ENSG00000218028	81	67	22	33	27	33	49	34
ENSG00000178035	434	429	220	620	448	439	272	437
ENSG00000120751	810	855	1432	766	577	863	1045	1119
ENSG00000187638	5773	5585	5503	3866	6048	3479	7240	5747
ENSG00000212677	43	37	22	16	44	31	19	50
ENSG00000199961	18	16	19	11	12	14	12	11
ENSG00000133530	4700	8512	4771	5327	4408	7473	7148	6872
ENSG00000191529	152	202	165	228	198	88	163	172
ENSG00000170014	20	31	11	13	35	14	22	14
ENSG00000197796	1664	915	1364	804	641	697	945	897
ENSG00000166423	106	139	104	113	133	84	139	131
ENSG00000164976	63	70	46	40	86	42	28	85
ENSG00000238461	16	10	6	14	20	9	7	17
ENSG00000113768	606	436	788	766	917	1248	943	802
ENSG00000110078	541	1166	776	453	1155	896	1140	1263
ENSG00000117804	6606	4115	3567	1761	2319	7505	4301	3711
ENSG00000248993	157	240	281	215	144	162	184	233
ENSG00000184924	123	81	68	44	56	104	127	62
ENSG00000211488	221	215	232	259	182	170	153	290
ENSG00000150846	303	214	333	238	312	331	143	237
ENSG00000247061	38	95	65	73	42	110	91	57
ENSG00000171800	3	6	6	12	16	4	10	19
ENSG00000228882	19	9	7	26	17	31	26	10
ENSG00000220423	136	112	145	125	84	170	81	88
ENSG00000191838	50	70	78	60	57	61	49	74
ENSG00000113069	3143	4832	6150	4706	4720	2561	4637	4044
ENSG00000199473	243	282	254	154	235	199	268	169
ENSG00000202276	114	99	94	76	59	77	124	78
ENSG00000105719	35	35	66	28	36	77	34	16
ENSG00000208081	432	483	836	322	317	711	559	541
ENSG00000140207	103	120	63	67	69	117	183	118
ENSG00000149890	973	717	1409	739	1429	1699	1479	506
ENSG00000154586	184	154	348	217	100	330	201	133
ENSG00000180967	2229	1517	2910	1441	2777	1369	2578	2587
ENSG00000161797	86	96	132	156	77	95	110	173
ENSG00000156645	1191	592	659	783	537	732	515	849
ENSG00000240716	2187	1616	2016	1827	1436	2023	2595	2402
ENSG00000198553	104	34	85	59	85	128	43	59
ENSG00000189152	2750	2223	2433	2638	3150	3454	5638	2436
ENSG00000249906	143	136	120	245	123	48	261	272
ENSG00000176101	10253	12333	7524	17856	11434	13422	20367	13870
ENSG00000110546	2799	1900	2780	2862	3587	5074	3946	3689
ENSG00000128872	917	992	2453	1728	1319	2231	1607	1235
ENSG00000168245	2780	1092	940	1222	1355	1222	1161	1602
ENSG00000186658	3773	4803	8654	4481	9087	4177	7336	3981
ENSG00000213037	105	67	88	69	109	113	85	133
ENSG00000114813	740	449	705	1476	1682	677	884	982
ENSG00000230346	312	231	379	169	391	119	223	176
ENSG00000231555	270	347	293	547	357	614	480	338
ENSG00000197715	753	485	1022	540	1632	896	1473	441
ENSG00000236189	3539	2535	3713	1206	2799	1855	4193	1734
ENSG00000175733	47	73	48	46	44	49	52	51
ENSG00000232594	26	33	26	26	19	35	23	19
ENSG00000110695	16	15	16	6	14	8	8	8
ENSG00000186507	970	458	628	612	955	271	798	378
ENSG00000105449	56	53	75	56	93	123	97	103
ENSG00000179942	1067	630	625	648	624	611	443	615
ENSG00000123289	1452	2471	1402	1718	1345	991	1789	1435
ENSG00000129005	1626	1225	2589	1487	1570	1952	2370	2914
ENSG00000175220	5	1	2	3	7	5	3	4
ENSG00000222915	174	181	270	166	307	347	186	292
ENSG00000236575	163	202	263	256	306	168	144	231
ENSG00000108504	79	23	71	7	31	29	45	18
ENSG00000203337	6	14	11	3	3	5	5	10
ENSG00000173881	422	362	505	332	337	613	517	429
ENSG00000243740	13962	15193	31828	11154	13852	12538	19007	25861
ENSG00000199688	30	16	18	4	14	13	18	9
ENSG00000220412	391	229	254	110	277	86	294	97
ENSG00000181057	304	382	491	292	409	676	451	571
ENSG00000218536	3	0	0	1	0	3	0	0
ENSG00000111943	5649	4611	2817	5375	5473	3126	5329	3684
ENSG00000137720	19	24	34	33	19	14	22	40
ENSG00000161034	1060	2237	3131	1831	1256	2095	2091	1066
ENSG00000231744	48581	47055	49878	35922	36792	66791	39170	76111
ENSG00000188948	282	247	144	255	201	180	396	97
ENSG00000144911	12	22	17	20	28	18	17	34
ENSG00000189339	289	203	411	151	705	118	370	159
ENSG00000142101	85	37	36	92	45	48	104	55
ENSG00000180711	441	391	261	515	538	600	299	590
ENSG00000240304	29	20	22	27	37	22	18	17
ENSG00000218547	2311	1462	1837	1657	2329	1685	4370	826
ENSG00000162878	55	17	12	29	18	33	72	34
ENSG00000233736	46662	41140	62605	65199	34113	36060	55697	59677
ENSG00000179531	10	4	12	7	7	2	9	7
ENSG00000156601	1116	655	1224	507	1747	1044	851	678
ENSG00000136481	4	6	2	6	12	9	9	22
ENSG00000117236	1909	1258	2041	1736	1267	2276	1047	1048
ENSG00000125418	88	152	172	71	186	133	174	79
ENSG00000151320	2	0	2	4	2	3	3	5
ENSG00000199030	15	20	19	27	28	18	15	27
ENSG00000239563	71	33	62	66	64	40	85	30
ENSG00000221906	6	15	9	22	18	1	8	5
ENSG00000198702	246	133	234	203	160	200	154	170
ENSG00000152789	8	7	24	8	16	10	8	24
ENSG00000229852	160	98	95	134	116	109	71	204
ENSG00000100291	414	440	269	404	320	290	351	295
ENSG00000218531	162	143	394	199	262	206	239	142
ENSG00000242107	107	93	103	80	53	40	131	78
ENSG00000197858	60	50	74	50	39	65	74	52
ENSG00000180892	465	543	138	529	625	585	313	314
ENSG00000100509	43	52	52	50	38	63	44	59
ENSG00000114393	214	119	129	137	113	84	113	94
ENSG00000144205	3	4	1	1	1	1	1	1
ENSG00000121073	21	8	36	22	22	14	21	13
ENSG00000186793	246	314	692	217	257	296	438	367
ENSG00000201029	86	121	106	99	62	94	67	69
ENSG00000154366	138	122	177	226	129	139	104	94
ENSG00000106999	158	161	191	250	162	162	211	176
ENSG00000139831	3806	2907	1364	3369	1486	2823	2337	2074
ENSG00000108597	46	38	41	30	29	51	26	52
ENSG00000154265	2	2	1	5	6	5	3	6
ENSG00000216878	1082	1104	786	1713	1247	1463	1108	1986
ENSG00000147973	138	137	199	322	185	271	181	198
ENSG00000107489	26	12	22	20	25	36	31	31
ENSG00000124986	7	9	7	5	9	12	9	6
ENSG00000169903	1	2	2	3	1	4	5	2
ENSG00000215877	15	31	8	27	25	4	15	14
ENSG00000185240	142	124	47	185	51	113	86	138
ENSG00000140732	1298	1076	1812	1430	1863	1643	2640	2006
ENSG00000211351	46	65	57	53	14	61	48	40
ENSG00000133552	89	96	70	111	49	68	87	108
ENSG00000207123	11	42	30	31	31	31	20	34
ENSG00000103833	15	5	10	13	5	8	7	12
ENSG00000220214	243	130	322	221	334	255	253	215
ENSG00000186319	292	232	100	170	132	265	107	209
ENSG00000168650	77	98	72	72	45	67	85	82
ENSG00000168040	1311	706	1428	988	1013	456	1691	698
ENSG00000123028	7	3	8	8	3	9	10	9
ENSG00000103437	236	87	188	151	237	131	158	182
ENSG00000238601	68	67	81	52	69	58	49	71
ENSG00000190984	376	391	481	523	546	534	760	559
ENSG00000212458	45	16	53	11	54	31	39	17
ENSG00000171051	63	28	36	65	48	28	38	83
ENSG00000135516	50	54	37	43	51	54	64	48
ENSG00000107924	296	170	196	198	239	228	124	210
ENSG00000239881	78	48	54	41	49	43	67	66
ENSG00000142770	33	30	23	34	43	77	43	43
ENSG00000186893	20	19	13	10	5	16	6	11
ENSG00000182637	23	31	21	13	8	18	15	18
ENSG00000139603	298	303	240	176	271	166	218	434
ENSG00000124322	63	20	31	14	53	16	30	29
ENSG00000156885	1386	747	1596	1735	329	553	638	353
ENSG00000145847	4082	4132	9288	4741	7660	3232	3398	6918
ENSG00000240928	6704	2442	4780	1635	3151	2472	3192	2114
ENSG00000148671	219	192	286	508	339	410	287	173
ENSG00000216245	219	319	328	351	179	270	209	342
ENSG00000204671	508	416	340	622	492	295	442	377
ENSG00000132054	167	149	175	166	69	92	95	132
ENSG00000229088	118	33	80	106	55	74	98	152
ENSG00000206321	84	102	91	94	100	126	89	78
ENSG00000135637	27	13	10	40	3	30	16	11
ENSG00000168344	56	46	36	58	30	40	27	36
ENSG00000160123	8472	2055	4342	2827	7759	2805	8941	2658
ENSG00000102244	8	8	14	10	8	8	3	16
ENSG00000188452	6	6	6	9	8	9	13	13
ENSG00000228058	4	1	6	4	1	0	3	0
ENSG00000247105	755	293	639	324	562	836	485	174
ENSG00000128516	4188	3356	4822	4020	4993	5318	7512	8094
ENSG00000225148	983	1385	1109	836	1018	1077	959	1284
ENSG00000165312	93	90	61	74	66	82	59	96
ENSG00000119019	594	427	457	908	471	550	870	1238
ENSG00000207155	349	122	288	218	408	332	192	101
ENSG00000169921	630	419	305	565	310	332	555	325
ENSG00000202526	11	31	24	22	35	15	8	25
ENSG00000107282	927	307	720	1221	1041	640	913	962
ENSG00000238972	17	23	19	27	28	26	48	24
ENSG00000186669	162	351	341	272	237	213	233	152
ENSG00000130028	477	725	724	529	483	443	519	604
ENSG00000109590	618	753	720	864	512	606	534	1074
ENSG00000205665	11637	4312	9542	5962	5056	3448	10026	7161
ENSG00000200078	2019	2236	2678	2114	3049	2888	2396	1980
ENSG00000118108	109	130	71	110	90	177	108	129
ENSG00000243494	14744	17164	15579	11732	16125	11226	4569	11813
ENSG00000119466	3	6	2	3	4	4	9	12
ENSG00000205063	62	26	99	28	96	27	57	45
ENSG00000166759	181	181	155	279	205	166	206	140
ENSG00000129274	326	408	744	397	474	797	343	401
ENSG00000179908	135	165	149	166	208	241	35	161
ENSG00000203904	103	113	91	213	182	96	87	94
ENSG00000135335	4568	4218	3768	2924	6041	3308	6139	2412
ENSG00000174322	2	9	2	4	4	2	3	5
ENSG00000136652	72	58	61	43	70	74	73	65
ENSG00000226209	32	22	31	9	38	19	37	30
ENSG00000161417	76	134	104	114	106	170	69	169
ENSG00000150406	26	33	36	22	71	45	59	31
ENSG00000205052	224	443	314	330	167	313	373	214
ENSG00000153600	1787	924	1597	1029	828	1081	1504	1418
ENSG00000163778	3843	4073	4448	5563	2928	3957	3123	4298
ENSG00000190003	0	1	2	3	6	3	3	2
ENSG00000101940	31	53	35	37	36	100	50	25
ENSG00000184521	1500	1279	1553	1269	1325	1402	1041	2171
ENSG00000221919	154	114	97	288	138	201	209	174
ENSG00000227301	69	61	32	52	42	73	109	90
ENSG00000242244	181	68	151	105	60	130	127	105
ENSG00000194829	1093	801	867	566	622	593	796	1512
ENSG00000239734	86	75	100	105	97	100	73	141
ENSG00000143539	198	266	169	275	271	124	146	151
ENSG00000183473	82	61	107	79	83	135	64	75
ENSG00000108417	188	141	101	151	175	93	126	170
ENSG00000192267	387	229	458	210	423	168	184	377
ENSG00000115622	4425	10646	7721	11478	4311	10291	5367	9343
ENSG00000125072	560	542	514	953	517	525	483	758
ENSG00000163286	202	145	162	269	172	275	269	251
ENSG00000232423	849	1658	2754	1680	1452	1698	1780	1226
ENSG00000104612	2	4	7	8	11	9	6	13
ENSG00000101381	38	45	47	36	59	43	110	56
ENSG00000114666	310	160	220	167	203	290	267	211
ENSG00000203935	11	13	10	16	20	15	13	30
ENSG00000153741	138	70	150	152	86	106	73	197
ENSG00000236897	94	87	109	48	76	63	66	77
ENSG00000202546	176	71	102	60	85	77	85	97
ENSG00000230161	67	28	40	42	40	65	56	53
ENSG00000171268	260	209	213	207	90	112	241	86
ENSG00000192245	827	880	894	1179	1116	642	1361	1283
ENSG00000136404	98	45	142	56	88	76	160	96
ENSG00000222675	348	170	279	219	200	177	514	399
ENSG00000120625	194	350	427	320	574	352	360	441
ENSG00000198037	63	42	46	47	89	41	51	75
ENSG00000127374	112	120	115	57	111	86	119	86
ENSG00000229786	1117	1417	1299	905	1384	702	1324	765
ENSG00000218453	7	12	17	12	6	12	8	7
ENSG00000166510	284	191	217	111	149	152	162	184
ENSG00000210845	247	165	160	109	98	258	154	139
ENSG00000242663	60	33	49	60	30	53	31	54
ENSG00000224400	1	0	0	2	2	4	1	5
ENSG00000135339	682	225	754	494	561	624	835	329
ENSG00000150297	15959	12190	17664	26056	21531	14774	19080	8871
ENSG00000122747	65	84	77	73	93	73	88	104
ENSG00000188015	592	915	879	448	594	350	1294	598
ENSG00000179222	208	219	232	395	241	179	300	183
ENSG00000171238	222	226	176	428	297	263	226	302
ENSG00000115759	66	38	98	106	84	88	152	92
ENSG00000208689	124	294	247	223	317	240	128	341
ENSG00000148983	23	35	19	31	21	23	22	17
ENSG00000198644	172	91	143	75	104	118	80	97
ENSG00000201449	163	107	151	152	185	249	93	58
ENSG00000197109	182	101	137	230	157	117	117	100
ENSG00000152283	50	26	28	39	14	19	30	35
ENSG00000104917	960	512	575	1435	880	555	673	793
ENSG00000232530	11	9	16	8	10	3	14	6
ENSG00000157209	2	4	5	6	6	14	20	6
ENSG00000154085	440	132	428	255	452	134	341	172
ENSG00000228400	5	11	7	7	3	7	5	6
ENSG00000243264	11693	11297	16920	8008	8071	4277	13886	10753
ENSG00000239161	23	15	19	7	11	11	10	20
ENSG00000103764	70	55	75	53	105	70	63	56
ENSG00000220680	1696	1652	1875	1885	2657	1543	1796	2608
ENSG00000198615	7	14	14	14	8	6	6	11
ENSG00000141858	2835	2489	4132	5161	2727	3390	2565	5088
ENSG00000108463	2926	1561	1701	1946	2392	2660	824	2888
ENSG00000239631	1480	1058	1909	1543	1764	1415	1597	944
ENSG00000188065	249	212	208	81	256	117	332	86
ENSG00000119886	2341	3583	3713	2850	2404	1645	2774	3088
ENSG00000225131	123	162	113	92	106	115	82	150
ENSG00000177165	540	443	1664	935	1364	1531	904	1169
ENSG00000165647	14	15	47	22	33	23	33	28
ENSG00000233632	1339	965	935	1469	810	1004	901	693
ENSG00000213775	462	1141	1166	1117	436	449	571	740
ENSG00000147012	1612	658	1205	630	1352	647	497	483
ENSG00000240826	1101	918	1270	883	809	863	646	1472
ENSG00000155625	35	36	31	27	28	22	19	16
ENSG00000157316	986	817	989	1297	420	1839	382	822
ENSG00000211981	102	79	100	40	97	103	136	67
ENSG00000232596	148	209	440	258	310	182	145	225
ENSG00000121309	569	284	443	412	403	363	348	483
ENSG00000126167	40	48	36	63	58	97	58	38
ENSG00000208294	785	1094	605	987	738	955	683	536
ENSG00000203511	82	42	114	65	140	119	97	69
ENSG00000182947	552	260	710	830	500	640	614	515
ENSG00000187588	147	156	92	142	54	169	164	219
ENSG00000197933	36	24	56	15	47	68	29	14
ENSG00000147184	519	1353	1304	761	681	1192	1071	968
ENSG00000119407	253	147	306	110	102	162	178	177
ENSG00000118452	494	507	601	425	285	443	468	249
ENSG00000106768	45	84	97	70	57	42	63	64
ENSG00000151275	11	4	12	7	12	9	5	7
ENSG00000123613	562	703	407	688	830	1646	845	1136
ENSG00000171866	2	3	2	4	2	2	3	1
ENSG00000183369	13	21	45	26	21	65	16	55
ENSG00000159715	4	6	1	3	3	3	4	0
ENSG00000240475	414	342	463	229	381	248	508	468
ENSG00000167363	3	1	2	3	3	4	4	3
ENSG00000130175	468	752	944	595	779	617	1044	569
ENSG00000159496	22243	19438	26865	18822	28557	16897	18210	20093
ENSG00000134346	17	10	14	11	18	22	30	14
ENSG00000186765	1069	826	1361	1045	705	636	929	1223
ENSG00000109904	18297	7014	18120	6466	6822	9519	18872	4737
ENSG00000207446	23	12	15	12	9	3	15	8
ENSG00000248917	198	182	109	213	144	180	159	259
ENSG00000137232	58	18	22	28	56	17	51	70
ENSG00000102688	173	101	212	141	125	158	193	121
ENSG00000109005	70	98	87	98	111	144	81	56
ENSG00000138272	5237	9618	6443	5839	6035	5788	10142	12648
ENSG00000130875	353	385	163	492	294	233	229	119
ENSG00000220105	27259	21327	14419	32144	12682	35357	26765	45754
ENSG00000170901	12985	15870	12264	17043	10268	15088	16362	11650
ENSG00000225508	820	1524	965	1715	1221	1646	2882	2048
ENSG00000120968	76	97	184	67	74	104	68	74
ENSG00000227984	67	74	77	50	37	58	33	55
ENSG00000110758	59	55	39	53	46	72	64	17
ENSG00000178944	749	685	1224	558	297	455	861	1025
ENSG00000199997	249	137	171	337	354	105	90	286
ENSG00000227849	379	143	220	221	342	314	375	293
ENSG00000224115	383	394	264	366	316	356	169	441
ENSG00000229221	16457	10724	7670	10669	8845	7058	3908	14590
ENSG00000227775	137	107	172	215	102	131	162	141
ENSG00000147816	93	91	117	235	78	149	79	49
ENSG00000229335	338	578	373	665	404	317	392	380
ENSG00000124455	437	410	224	403	267	356	268	369
ENSG00000246733	4897	2427	1271	1277	4046	1162	1080	2481
ENSG00000145607	2842	2288	1446	2823	2998	4527	3551	2647
ENSG00000149433	54	44	22	44	55	43	18	35
ENSG00000139177	331	669	508	672	427	583	726	549
ENSG00000171790	80	85	116	73	36	70	71	65
ENSG00000205501	482	500	586	489	490	727	860	619
ENSG00000231975	47	101	102	85	79	82	88	116
ENSG00000192081	31	13	29	25	21	21	24	37
ENSG00000193093	90	94	95	78	154	133	131	107
ENSG00000101474	372	446	242	311	445	194	400	430
ENSG00000214660	15	11	29	18	16	18	15	24
ENSG00000146340	358	191	525	561	397	283	608	500
ENSG00000101696	106	150	206	120	110	142	191	187
ENSG00000207311	65	71	91	134	92	43	69	93
ENSG00000104892	454	485	564	596	452	342	303	535
ENSG00000146989	582	792	560	485	1331	635	1077	887
ENSG00000160962	85	64	217	139	150	85	105	111
ENSG00000122925	0	1	1	2	4	0	1	0
ENSG00000172945	59	13	28	16	22	55	13	32
ENSG00000112944	2220	1359	1272	1598	1708	1713	2336	1255
ENSG00000192170	11	13	9	9	7	7	9	5
ENSG00000100050	227	267	400	262	214	101	224	275
ENSG00000208777	0	4	3	6	13	3	2	1
ENSG00000157227	6987	11268	14875	10358	11453	8741	12630	17433
ENSG00000234856	47	43	41	34	69	29	51	35
ENSG00000168370	392	654	854	970	609	896	820	289
ENSG00000189083	49	48	70	47	80	66	65	28
ENSG00000116635	427	124	314	364	572	171	366	167
ENSG00000210865	1564	2643	1833	2081	1257	1359	4086	1768
ENSG00000161148	110	238	140	102	115	176	185	181
ENSG00000174892	12	23	27	21	17	33	48	10
ENSG00000185713	5229	2327	5605	2204	4562	2221	3260	1337
ENSG00000222738	39	153	139	77	159	48	80	124
ENSG00000109194	3039	3568	2237	4023	2853	3379	3977	2752
ENSG00000243278	24	31	35	17	42	51	29	19
ENSG00000141208	113	88	75	80	68	57	87	82
ENSG00000178986	458	688	400	504	357	585	842	1072
ENSG00000108464	781	517	844	1142	975	874	1123	1124
ENSG00000157308	561	1006	453	941	624	779	774	592
ENSG00000153103	34	39	54	65	35	22	34	17
ENSG00000179547	396	196	373	614	397	275	440	373
ENSG00000147081	2	6	14	12	7	6	5	5
ENSG00000208533	494	966	521	975	1129	428	1181	514
ENSG00000224911	197	64	288	212	340	311	128	210
ENSG00000178547	2031	793	2283	876	996	942	2230	1368
ENSG00000184326	67	79	72	101	60	92	55	73
ENSG00000108671	103	79	135	84	130	123	55	195
ENSG00000222220	743	896	1085	730	1548	659	1167	560
ENSG00000106452	11	17	24	10	11	10	9	8
ENSG00000117746	101	86	49	72	70	46	28	40
ENSG00000201949	1465	1110	964	1112	678	1418	1223	928
ENSG00000224405	388	703	470	364	565	976	733	723
ENSG00000132308	43	96	63	52	93	74	101	95
ENSG00000136871	35	62	71	39	44	32	35	31
ENSG00000134021	20	8	13	10	27	22	14	12
ENSG00000162692	38	91	72	61	83	75	92	67
ENSG00000198200	2909	808	1784	1134	1020	788	2017	666
ENSG00000163311	245	226	192	200	180	304	369	183
ENSG00000116808	22	22	21	22	15	21	11	14
