	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000209059	228	269	141	281	523	340	392	293
ENSG00000193768	88	41	32	46	36	36	47	46
ENSG00000213486	8	7	2	2	7	3	4	1
ENSG00000220200	327	182	207	194	326	265	307	319
ENSG00000107347	15	20	10	7	16	16	7	4
ENSG00000127185	137	131	105	174	152	103	193	189
ENSG00000182736	24	28	12	12	31	16	16	34
ENSG00000181354	6	7	6	5	7	4	8	7
ENSG00000113666	4685	4106	4141	3502	2364	2335	2151	2531
ENSG00000185128	137	103	211	164	124	108	109	165
ENSG00000188820	1187	518	1005	984	969	833	1065	1200
ENSG00000162039	984	596	1106	909	918	797	814	520
ENSG00000190542	63	24	35	18	68	43	24	33
ENSG00000241289	315	208	240	255	105	155	144	193
ENSG00000110404	105	90	63	46	44	104	44	67
ENSG00000102320	781	780	889	1095	1224	618	1190	950
ENSG00000219943	258	334	125	306	242	286	270	444
ENSG00000239361	64	106	72	90	90	53	38	104
ENSG00000190927	4092	7794	5407	5793	3776	4583	6436	4888
ENSG00000147684	1279	364	883	629	720	385	1156	428
ENSG00000184544	474	464	374	393	373	492	215	490
ENSG00000146875	62	29	19	31	21	17	25	21
ENSG00000152763	746	345	553	199	921	369	490	314
ENSG00000171758	6	21	7	9	6	7	9	5
ENSG00000243823	526	299	612	288	251	350	281	235
ENSG00000178824	13	15	14	16	24	30	10	15
ENSG00000236462	203	259	222	253	138	331	205	231
ENSG00000136746	40	67	148	75	70	101	55	90
ENSG00000225644	236	388	214	147	245	252	247	209
ENSG00000238200	223	294	307	265	331	257	367	236
ENSG00000171546	33	103	152	121	83	80	225	125
ENSG00000163138	89	104	86	109	116	101	122	131
ENSG00000152755	6	7	9	11	6	3	12	9
ENSG00000206660	1	5	3	5	2	3	1	2
ENSG00000182489	2341	1257	1152	2116	2896	1547	2213	1932
ENSG00000158559	653	382	787	419	404	738	224	394
ENSG00000154027	7	5	2	9	6	9	12	7
ENSG00000149352	8496	7090	5122	5071	7537	8446	8398	7206
ENSG00000213803	14	31	57	34	42	23	32	47
ENSG00000125200	352	284	379	397	372	492	252	517
ENSG00000157217	274	458	357	280	348	385	277	255
ENSG00000219730	86	128	186	220	142	85	249	134
ENSG00000121100	582	280	693	643	378	657	391	1185
ENSG00000100666	17	11	14	13	10	15	13	3
ENSG00000239654	172	175	72	258	137	159	167	130
ENSG00000212559	183	96	147	59	183	86	125	112
ENSG00000125616	186	274	252	66	207	81	148	226
ENSG00000171328	68	112	117	46	87	157	122	104
ENSG00000232992	31	28	44	35	32	33	31	36
ENSG00000205670	31	26	31	20	30	10	11	27
ENSG00000245828	781	1148	855	1035	1091	795	1333	525
ENSG00000249274	38	26	60	9	50	24	46	42
ENSG00000177143	297	242	259	405	299	417	223	272
ENSG00000109695	402	213	286	173	336	190	384	220
ENSG00000249518	90	110	141	117	91	142	85	88
ENSG00000219435	320	239	318	182	378	332	396	161
ENSG00000185418	498	356	499	603	607	424	373	577
ENSG00000163762	134	23	79	39	96	38	115	46
ENSG00000208708	183	168	302	273	153	264	411	259
ENSG00000224169	3285	10491	13261	5523	9441	6301	7384	5291
ENSG00000214642	43	14	43	8	19	13	16	14
ENSG00000219572	94	51	103	93	95	79	99	70
ENSG00000230808	51	18	33	27	71	34	40	36
ENSG00000198463	4671	8406	7110	5496	6399	6711	9255	6468
ENSG00000209790	7	10	8	14	9	5	10	8
ENSG00000124035	94	127	238	111	106	320	98	78
ENSG00000207704	544	1258	913	1016	839	686	1011	710
ENSG00000191311	32	34	39	30	13	27	26	36
ENSG00000247552	127	103	85	109	178	79	73	159
ENSG00000182074	44	30	17	15	34	30	30	30
ENSG00000173329	7	9	16	20	22	6	16	9
ENSG00000112061	52	85	115	169	135	108	127	89
ENSG00000222436	236	259	333	423	402	227	371	677
ENSG00000228457	73	117	51	76	76	36	78	58
ENSG00000134449	343	146	302	310	231	226	245	186
ENSG00000246810	474	544	477	741	682	352	346	838
ENSG00000128763	3284	1706	3108	1678	3959	1941	3815	1131
ENSG00000150023	17	10	13	5	22	21	7	23
ENSG00000213166	864	268	1898	303	326	501	913	525
ENSG00000239220	47	31	35	46	45	26	10	50
ENSG00000189550	0	2	6	3	2	2	1	6
ENSG00000208896	48	26	19	31	25	20	26	43
ENSG00000196083	1032	576	882	650	591	314	593	855
ENSG00000187048	216	265	546	136	1069	328	665	350
ENSG00000145492	16	14	20	19	40	12	7	19
ENSG00000154930	3376	2751	1963	3570	4252	3626	3957	3127
ENSG00000185462	266	275	422	374	290	258	293	293
ENSG00000243234	153	169	122	171	174	97	110	98
ENSG00000233419	39	65	40	44	30	63	46	90
ENSG00000245635	393	360	234	389	648	371	161	379
ENSG00000187721	40	55	69	62	64	70	51	42
ENSG00000234271	833	1112	1799	1129	2103	1190	1551	1584
ENSG00000135728	161	340	198	382	477	299	239	344
ENSG00000142070	364	400	558	609	315	775	407	413
ENSG00000212714	116	85	123	107	159	46	34	45
ENSG00000190283	5	6	8	8	10	5	7	4
ENSG00000136997	261	302	283	245	421	230	506	412
ENSG00000188102	26	12	12	15	15	16	21	23
ENSG00000109818	122	169	125	139	153	156	129	67
ENSG00000148312	192	153	192	212	200	127	110	260
ENSG00000180007	33	39	40	32	46	50	32	36
ENSG00000105565	882	1351	476	518	512	1453	786	714
ENSG00000140392	6	3	4	15	9	11	10	10
ENSG00000221845	2360	1144	4310	2741	2429	1413	2158	2076
ENSG00000141495	39	43	10	15	31	51	38	42
ENSG00000163176	574	1279	616	1392	1610	986	554	1464
ENSG00000141522	1782	1314	1721	1726	2885	2268	1345	2235
ENSG00000214288	24	19	9	30	17	28	24	19
ENSG00000108332	18	42	22	27	40	35	29	17
ENSG00000203815	1576	675	1478	982	775	1072	1279	632
ENSG00000155240	291	212	255	255	176	273	214	217
ENSG00000138961	248	133	186	202	345	180	95	196
ENSG00000238786	3	4	3	4	1	0	3	3
ENSG00000174786	3	5	2	9	10	5	9	8
ENSG00000223095	304	417	488	435	371	566	199	416
ENSG00000108471	1815	2062	2184	2948	2065	2194	1901	2286
ENSG00000188693	32	19	25	54	52	40	26	37
ENSG00000237685	25	14	27	26	43	30	34	22
ENSG00000113528	201	174	273	372	149	208	268	284
ENSG00000152597	342	414	328	275	496	458	319	313
ENSG00000222480	355	565	596	566	467	476	548	507
ENSG00000163079	48	58	97	48	30	44	63	74
ENSG00000188193	4	4	4	1	3	1	1	2
ENSG00000113348	2653	3041	2103	3971	2725	2591	2945	3872
ENSG00000162355	41	32	41	61	64	70	41	56
ENSG00000177011	1358	2113	1491	1168	1321	1173	1507	2954
ENSG00000132055	1	2	1	3	2	1	9	1
ENSG00000222154	328	400	491	303	511	344	394	283
ENSG00000235508	36	42	45	48	70	46	60	71
ENSG00000145790	22	19	7	11	16	18	6	17
ENSG00000141894	896	1118	920	1250	1344	1289	976	737
ENSG00000208898	2145	1291	1581	2799	2198	1627	1217	1507
ENSG00000159051	23	27	69	60	41	47	44	43
ENSG00000119521	331	585	333	439	532	551	911	437
ENSG00000104967	23	15	20	14	12	8	16	20
ENSG00000234773	51	49	68	49	55	58	33	47
ENSG00000205310	88	142	42	97	86	52	80	39
ENSG00000137415	67	102	64	146	54	82	78	37
ENSG00000111680	1407	541	975	209	1548	404	1363	341
ENSG00000238636	22	20	13	18	11	15	15	8
ENSG00000119894	495	990	694	1494	1257	1309	1454	560
ENSG00000131991	1189	1227	969	973	899	862	1256	893
ENSG00000237353	222	56	171	74	167	62	194	121
ENSG00000175568	20	15	12	10	15	8	18	20
ENSG00000129675	0	0	1	1	1	1	1	0
ENSG00000192908	82	67	111	108	127	113	88	89
ENSG00000207405	46	13	9	26	40	28	34	27
ENSG00000170905	154	191	155	143	142	94	219	96
ENSG00000131920	17	18	24	22	11	12	20	17
ENSG00000211893	182	154	213	73	183	137	59	138
ENSG00000207703	229	166	251	124	217	44	269	97
ENSG00000165460	139	127	212	114	150	92	180	188
ENSG00000106167	228	467	327	314	192	187	301	135
ENSG00000192478	320	323	212	153	310	417	240	162
ENSG00000238422	349	747	345	810	1112	855	668	1137
ENSG00000249243	28	11	48	30	24	54	39	34
ENSG00000129244	402	880	390	564	575	550	899	682
ENSG00000199763	132	107	210	159	178	132	80	153
ENSG00000130079	55	81	82	102	71	53	87	82
ENSG00000170314	16	20	13	24	26	48	29	21
ENSG00000221660	2756	3593	4459	3648	4168	3891	1793	2642
ENSG00000153941	184	159	242	195	130	427	161	296
ENSG00000186233	64	49	45	59	80	63	43	56
ENSG00000217373	124	82	124	157	92	153	130	199
ENSG00000186673	182	219	283	126	301	146	258	122
ENSG00000122140	67	42	66	38	45	55	27	55
ENSG00000141828	6	8	11	17	7	17	11	7
ENSG00000153425	118	245	108	90	161	226	237	169
ENSG00000144138	91	80	126	120	96	117	110	128
ENSG00000173753	50	73	82	114	103	49	68	85
ENSG00000245251	1621	865	726	1386	1156	857	1285	757
ENSG00000240672	8	10	28	4	3	14	11	19
ENSG00000194527	21	28	20	15	20	13	23	25
ENSG00000217368	212	149	201	214	206	107	178	234
ENSG00000107727	672	778	1536	757	870	850	1020	877
ENSG00000178148	386	270	434	373	544	756	309	410
ENSG00000137949	633	335	686	763	815	501	828	706
ENSG00000167891	0	0	2	4	3	2	6	1
ENSG00000133669	685	216	1039	431	765	199	667	435
ENSG00000198222	305	308	464	313	241	186	417	175
ENSG00000219591	437	348	497	600	362	346	689	366
ENSG00000198451	20	22	24	25	63	33	57	44
ENSG00000143364	287	453	188	262	170	279	314	403
ENSG00000228243	1158	735	1197	868	1428	1023	720	880
ENSG00000194990	8950	2321	6411	3584	10990	2959	12953	4413
ENSG00000114600	282	231	202	241	287	402	217	170
ENSG00000177987	8	10	17	8	9	5	14	7
ENSG00000117866	183	154	164	181	124	152	179	204
ENSG00000157760	504	536	288	537	576	409	600	769
ENSG00000205616	393	408	471	446	536	526	306	253
ENSG00000116911	4002	2412	5599	7313	5464	8619	8017	8604
ENSG00000189263	102	101	102	84	86	109	158	164
ENSG00000171095	28	18	16	7	27	23	13	12
ENSG00000222958	39	35	16	61	28	56	65	33
ENSG00000219052	568	638	363	557	481	738	753	343
ENSG00000244533	32	39	36	26	26	43	21	26
ENSG00000225404	14	19	18	11	16	25	10	26
ENSG00000237711	24	31	36	14	35	14	38	24
ENSG00000159999	1638	1621	1545	1416	1708	366	1137	1717
ENSG00000100133	254	264	130	243	341	168	248	297
ENSG00000233647	205	64	136	45	142	54	207	61
ENSG00000222119	1494	656	2036	695	792	1104	1962	735
ENSG00000159471	505	361	509	464	411	356	586	689
ENSG00000110421	36	20	30	17	29	14	12	20
ENSG00000131018	980	918	1176	449	1052	444	954	757
ENSG00000109361	140	347	155	197	222	213	309	295
ENSG00000198400	2	2	2	1	0	2	4	3
ENSG00000235839	16	18	14	18	12	14	3	25
ENSG00000236231	287	355	213	256	306	241	177	262
ENSG00000232993	418	361	331	309	365	276	344	342
ENSG00000112043	94	132	39	123	63	82	97	108
ENSG00000197796	28	26	16	35	24	27	21	28
ENSG00000150160	292	209	240	75	102	282	177	467
ENSG00000186565	0	6	5	3	5	1	1	5
ENSG00000205071	539	417	369	654	303	414	608	519
ENSG00000180921	56	178	86	114	84	166	95	169
ENSG00000198270	150	90	81	146	167	129	84	99
ENSG00000236183	58	73	40	69	44	34	52	33
ENSG00000245026	760	608	658	463	854	619	441	514
ENSG00000199506	2	1	0	2	2	1	2	1
ENSG00000140052	40	20	24	23	7	31	23	26
ENSG00000188637	361	414	641	295	463	152	326	347
ENSG00000136207	49	43	40	37	39	36	31	45
ENSG00000222873	2392	3517	2245	3296	958	1817	2873	3731
ENSG00000101992	272	393	312	300	270	391	493	457
ENSG00000129410	46	48	41	39	48	39	55	30
ENSG00000103033	1134	1524	1592	740	1153	1798	1417	1264
ENSG00000211488	98	91	167	169	90	53	129	52
ENSG00000219004	669	421	706	343	1568	807	1095	504
ENSG00000247306	48	41	46	53	30	20	41	52
ENSG00000132083	35	38	57	35	74	40	47	25
ENSG00000133311	515	819	345	552	910	910	545	486
ENSG00000161210	348	397	134	220	230	124	165	148
ENSG00000213753	41	41	55	24	21	27	40	52
ENSG00000143067	20	8	13	28	39	42	15	16
ENSG00000154317	619	1035	291	518	555	371	511	565
ENSG00000172972	4718	4991	3958	5701	4427	3452	5378	3269
ENSG00000219464	35	14	35	34	8	21	29	21
ENSG00000234585	665	729	822	460	796	799	459	436
ENSG00000134077	0	2	0	0	0	0	1	1
ENSG00000239300	19	3	19	11	4	15	12	9
ENSG00000205194	771	1115	573	352	698	580	557	518
ENSG00000103553	7365	2499	4363	3309	7352	4540	6162	3998
ENSG00000103760	182	97	123	208	93	134	203	197
ENSG00000211604	617	340	412	426	667	228	337	439
ENSG00000161797	273	314	228	155	305	286	344	249
ENSG00000234430	743	2147	1315	767	1458	1240	1654	796
ENSG00000199879	5	10	16	25	15	21	11	29
ENSG00000185185	1080	430	1640	489	749	484	1113	678
ENSG00000214200	80	47	65	81	145	51	40	74
ENSG00000249676	103	83	112	74	76	69	50	77
ENSG00000115327	95	234	146	141	138	213	94	185
ENSG00000173880	108	120	89	63	61	100	83	162
ENSG00000213413	19	9	26	37	50	52	48	46
ENSG00000120679	202	107	86	77	106	135	105	148
ENSG00000158680	24	15	24	25	15	24	36	17
ENSG00000247741	2235	2837	4266	3145	2257	4931	2806	2782
ENSG00000178447	788	317	753	306	558	737	860	474
ENSG00000128526	80	94	50	87	103	76	43	78
ENSG00000171507	2225	3179	1870	2910	3709	2678	5855	2192
ENSG00000241716	2060	2072	2843	3230	5132	1393	4391	2797
ENSG00000249794	497	384	785	450	985	427	765	719
ENSG00000216028	60	45	68	78	92	60	8	62
ENSG00000160904	450	317	478	292	381	395	375	314
ENSG00000148084	571	355	496	301	445	384	732	187
ENSG00000139158	3121	3228	3258	1859	2400	1865	1766	1570
ENSG00000129340	63	97	118	134	157	53	85	63
ENSG00000225225	94	47	36	28	69	66	35	87
ENSG00000188106	18481	12636	15729	9471	13060	13698	9219	18415
ENSG00000153503	1596	3678	2748	1674	2872	3790	1375	3199
ENSG00000107119	411	161	88	242	398	245	402	374
ENSG00000244214	49	23	57	21	62	21	63	16
ENSG00000129279	387	209	400	401	732	566	415	402
ENSG00000203708	493	1978	2195	1072	1872	1343	749	1908
ENSG00000174708	387	475	773	479	819	557	463	731
ENSG00000199144	591	608	327	900	1383	954	786	458
ENSG00000137720	138	143	138	174	177	228	184	168
ENSG00000204915	1464	1329	1172	1421	1241	1187	1575	1274
ENSG00000109086	43	47	35	33	30	45	36	28
ENSG00000199987	35	54	34	45	104	113	81	83
ENSG00000144911	148	42	214	38	72	50	73	71
ENSG00000192456	52	22	35	15	61	38	38	36
ENSG00000215554	11334	6539	19084	13785	8226	5432	8034	9045
ENSG00000158459	3	4	6	8	4	10	8	5
ENSG00000199981	273	135	166	113	271	316	323	208
ENSG00000191206	34	35	29	20	14	26	20	28
ENSG00000229181	11	17	10	9	11	23	23	15
ENSG00000249943	140	175	221	206	197	194	181	162
ENSG00000157747	11	5	2	10	8	4	3	14
ENSG00000108621	216	105	189	196	368	91	332	95
ENSG00000235134	8961	14062	16549	12425	11321	12023	13855	15473
ENSG00000199030	137	124	141	113	119	87	169	319
ENSG00000112352	361	265	396	398	528	369	607	371
ENSG00000130467	39	41	26	28	21	17	18	34
ENSG00000178313	494	382	302	540	400	589	457	315
ENSG00000222118	4	8	6	7	12	3	12	8
ENSG00000229173	235	222	208	335	231	300	215	273
ENSG00000125963	85	233	69	81	108	179	126	124
ENSG00000165367	5746	9007	10250	9922	11726	6610	16369	16231
ENSG00000219823	149	147	107	189	139	100	167	150
ENSG00000177364	87	47	97	86	93	65	73	46
ENSG00000205585	50	53	63	22	73	58	44	55
ENSG00000179390	11	11	7	4	17	12	21	30
ENSG00000130398	918	787	731	1047	789	1166	775	769
ENSG00000109969	3519	4017	3201	4458	2238	3112	3811	3916
ENSG00000210159	27	44	53	51	68	47	56	49
ENSG00000168803	683	355	455	556	600	534	496	202
ENSG00000215877	84	67	38	79	32	83	81	83
ENSG00000187155	375	362	476	517	251	295	254	254
ENSG00000196003	421	340	349	585	300	757	707	342
ENSG00000133552	4	6	13	9	11	10	1	6
ENSG00000161284	22	19	42	20	22	38	43	32
ENSG00000150344	963	830	506	922	856	1105	972	1423
ENSG00000145267	1	5	3	2	2	3	1	4
ENSG00000204729	117	137	139	49	153	117	186	109
ENSG00000212958	100	88	61	119	113	56	54	60
ENSG00000192155	36	12	47	30	8	20	18	20
ENSG00000235960	209	237	255	159	204	227	154	117
ENSG00000163205	191	187	302	287	137	355	134	312
ENSG00000238601	574	422	540	412	492	448	254	380
ENSG00000165714	0	1	1	1	0	1	0	2
ENSG00000146004	3233	3024	3679	7367	2164	5434	3193	2998
ENSG00000178027	39	46	37	49	54	40	82	68
ENSG00000138338	927	1268	1261	1402	1180	782	971	1028
ENSG00000175971	107	82	241	87	287	55	281	117
ENSG00000248113	25	80	60	35	63	27	62	48
ENSG00000200732	483	132	202	133	200	224	209	195
ENSG00000217862	42439	22901	52266	85601	72557	38823	36989	45452
ENSG00000106134	2296	2707	2733	2121	3115	2220	3542	6750
ENSG00000229088	38	78	51	97	87	74	39	39
ENSG00000248528	326	268	244	207	513	183	406	105
ENSG00000132296	1832	1647	2187	1423	1414	1600	1733	1262
ENSG00000192305	443	423	354	411	330	480	588	342
ENSG00000146780	214	143	208	260	162	265	185	144
ENSG00000113448	147	155	113	120	67	129	204	68
ENSG00000248348	9	15	29	25	16	29	20	22
ENSG00000230341	817	917	656	434	293	864	777	629
ENSG00000247284	1492	2376	1245	1479	1642	1592	495	1044
ENSG00000130095	16645	22345	12910	12074	11880	18863	16092	7584
ENSG00000240637	39	68	61	48	70	37	50	32
ENSG00000222955	890	425	447	676	638	474	514	510
ENSG00000144693	275	182	197	184	146	211	194	75
ENSG00000241258	7400	1164	2963	1521	2682	1739	3718	1753
ENSG00000223635	143	110	112	94	102	188	139	132
ENSG00000118993	43	28	33	24	34	46	55	24
ENSG00000141224	3	7	6	5	5	0	2	5
ENSG00000154080	689	1332	744	509	753	601	572	820
ENSG00000110266	245	139	179	397	179	210	131	113
ENSG00000244972	2030	915	1799	1397	855	1432	1851	1190
ENSG00000161750	34	65	47	45	31	55	32	27
ENSG00000141641	63445	31033	38768	21541	67036	30190	60424	28922
ENSG00000217502	63	43	122	42	73	22	94	20
ENSG00000167784	789	616	1088	215	1039	594	784	440
ENSG00000109590	254	290	331	368	376	258	164	439
ENSG00000157438	1025	2334	1485	1313	828	1448	1155	640
ENSG00000156586	125	52	241	38	137	119	177	80
ENSG00000148442	76	16	37	11	79	23	52	22
ENSG00000142425	16	25	13	20	30	20	10	18
ENSG00000164515	815	744	490	488	465	649	858	494
ENSG00000121095	241	149	148	169	136	146	131	270
ENSG00000166924	487	241	205	389	398	277	303	268
ENSG00000179908	41	22	34	41	51	36	20	28
ENSG00000121970	87	153	307	273	192	245	54	291
ENSG00000168145	268	136	170	183	190	340	110	161
ENSG00000195602	503	525	570	271	563	562	391	518
ENSG00000150406	2	12	11	3	3	12	10	8
ENSG00000229862	99	33	86	29	78	43	52	29
ENSG00000228821	4634	4011	2421	4232	5483	5339	2820	4792
ENSG00000191229	112	40	93	15	74	50	72	62
ENSG00000231641	129	52	183	267	76	84	126	137
ENSG00000240602	101	54	132	62	141	46	93	91
ENSG00000143539	6	10	7	7	5	9	3	8
ENSG00000144143	32	15	11	9	30	14	9	10
ENSG00000183473	218	171	370	350	265	215	301	245
ENSG00000249849	72	27	46	42	69	30	39	51
ENSG00000108417	8889	16219	8469	7853	7456	9867	5521	5704
ENSG00000175729	16	8	7	10	27	5	19	8
ENSG00000123366	2	2	2	3	0	3	3	4
ENSG00000232423	62	76	53	80	56	21	65	81
ENSG00000101381	16	9	8	5	8	5	9	13
ENSG00000235022	4586	2794	6542	2246	2779	4085	4674	1969
ENSG00000114666	69	81	81	35	61	65	39	71
ENSG00000190953	731	433	316	451	500	258	281	374
ENSG00000164042	9	3	15	8	4	14	9	7
ENSG00000151200	267	1180	641	711	522	552	655	731
ENSG00000208990	882	450	1550	244	1255	405	970	374
ENSG00000192245	4045	1975	4040	1395	6618	1579	4771	1565
ENSG00000100443	100	146	328	258	114	230	129	253
ENSG00000170379	387	461	481	709	632	428	145	605
ENSG00000198065	223	185	152	171	277	109	211	237
ENSG00000234297	997	726	843	1020	932	546	1164	1093
ENSG00000178113	78	43	49	70	57	46	78	81
ENSG00000115972	262	539	766	503	390	272	203	359
ENSG00000187763	28	57	34	52	47	59	56	38
ENSG00000132529	858	528	705	612	760	548	675	811
ENSG00000222179	65	120	84	141	57	64	132	81
ENSG00000145598	14	28	41	53	37	58	49	28
ENSG00000248172	51	30	50	22	37	56	41	36
ENSG00000150795	2578	2580	2791	1089	2860	2534	1896	3487
ENSG00000208782	3	7	8	7	4	2	6	3
ENSG00000124054	9	6	8	10	9	6	11	8
ENSG00000177523	449	506	425	695	490	489	519	438
ENSG00000192525	23	10	9	24	11	14	28	20
ENSG00000150297	67	64	68	42	65	49	72	44
ENSG00000100693	30	54	56	50	51	83	63	38
ENSG00000122747	14257	19108	15680	10729	13857	13713	17017	12903
ENSG00000184884	47	15	29	45	38	24	50	23
ENSG00000202793	43	26	57	22	27	47	46	21
ENSG00000125607	70	113	28	33	92	49	50	80
ENSG00000167423	346	263	223	326	222	262	361	350
ENSG00000148338	453	467	256	286	438	415	240	350
ENSG00000153608	6	9	12	5	10	4	10	4
ENSG00000169280	280	134	218	304	379	330	392	357
ENSG00000107660	6886	6784	8587	8778	7136	12542	6011	6867
ENSG00000222045	7	7	7	3	8	2	6	3
ENSG00000231692	331	263	248	402	461	265	341	159
ENSG00000180729	672	648	941	706	1155	444	1349	585
ENSG00000246491	155	225	193	244	92	187	184	215
ENSG00000244024	177	146	255	50	233	155	138	78
ENSG00000148466	2	2	1	1	0	1	1	2
ENSG00000152783	1568	1970	965	1981	570	1102	1832	1613
ENSG00000165431	144	63	227	41	151	53	98	54
ENSG00000108463	184	78	68	90	78	60	143	99
ENSG00000120003	2806	646	1355	1139	2615	2245	1570	2485
ENSG00000160725	1	0	0	0	2	0	2	0
ENSG00000196110	200	141	162	42	280	95	168	72
ENSG00000161483	411	258	627	421	558	456	455	283
ENSG00000100716	628	648	327	659	633	909	618	513
ENSG00000115335	236	494	359	617	473	283	376	524
ENSG00000191523	8418	5861	7418	12040	7724	13544	10270	6186
ENSG00000132418	302	173	272	296	438	199	265	223
ENSG00000192452	1129	947	1558	844	1352	997	1603	835
ENSG00000110189	513	660	562	438	870	589	354	850
ENSG00000211981	4	10	4	5	12	9	3	4
ENSG00000165439	45	29	46	21	50	44	33	22
ENSG00000165068	7834	4424	11099	6333	11378	9691	11048	8922
ENSG00000103184	205	130	164	49	167	41	137	108
ENSG00000197933	90	105	161	126	128	70	220	123
ENSG00000186447	11	15	5	21	9	11	10	4
ENSG00000158296	88	64	53	105	78	65	42	71
ENSG00000101915	16	4	11	4	15	11	37	6
ENSG00000247806	39	35	15	19	31	28	49	37
ENSG00000196809	358	340	420	545	838	642	429	452
ENSG00000119880	23	30	40	44	41	37	12	38
ENSG00000248916	42	57	35	42	26	47	39	35
ENSG00000184648	2359	2404	2105	2771	1028	2192	2350	1694
ENSG00000151275	164	450	441	359	508	341	455	373
ENSG00000130347	465	232	334	306	497	368	222	375
ENSG00000246116	990	706	1366	1268	749	1014	759	515
ENSG00000237696	36	34	18	67	50	47	18	49
ENSG00000216644	60	49	63	67	53	111	151	65
ENSG00000126089	5	1	2	2	4	3	4	0
ENSG00000144436	967	517	542	886	669	353	844	598
ENSG00000172632	104	63	92	209	96	175	78	228
ENSG00000197438	121	192	83	68	263	104	104	172
ENSG00000152048	17	24	11	14	9	29	8	9
ENSG00000186765	508	330	511	490	301	396	572	956
ENSG00000168261	440	626	571	561	479	362	539	367
ENSG00000122318	182	199	145	201	238	221	197	135
ENSG00000220321	5	3	5	9	15	2	5	14
ENSG00000119339	26	11	31	18	29	37	25	35
ENSG00000242576	268	128	182	113	119	101	142	63
ENSG00000214272	22	19	33	18	39	28	34	23
ENSG00000229093	201	365	293	353	226	448	308	487
ENSG00000160290	1215	1145	1028	708	634	891	394	1797
ENSG00000139455	34	40	27	26	17	34	34	24
ENSG00000244449	106	65	44	97	110	148	114	82
ENSG00000169623	25	46	39	29	48	48	48	35
ENSG00000207024	704	915	650	535	849	1770	665	830
ENSG00000208024	529	632	717	873	874	964	983	586
ENSG00000159636	24168	19648	21986	34099	35437	38338	19479	23019
ENSG00000245593	222	154	212	94	157	191	102	125
ENSG00000202013	23	28	17	27	26	15	19	27
ENSG00000110810	507	231	168	338	335	338	343	251
ENSG00000227775	52	76	167	98	86	94	60	118
ENSG00000219976	228	346	255	181	240	255	120	178
ENSG00000187858	2521	1410	1806	1902	1402	1258	968	3130
ENSG00000126280	55	30	113	82	67	36	77	120
ENSG00000227884	1049	347	1335	536	879	480	1460	505
ENSG00000114451	4	3	2	2	0	1	0	1
ENSG00000243822	2309	567	1187	1124	1184	1103	597	2058
ENSG00000123461	111	146	141	187	115	208	292	229
ENSG00000104795	101	60	109	128	122	82	87	80
ENSG00000233161	92	77	32	79	82	42	74	43
ENSG00000135837	3848	1456	3122	1658	2761	2217	2382	2512
ENSG00000218446	24	57	95	63	20	48	63	70
ENSG00000159602	1838	2384	1806	580	2999	2324	1772	1332
ENSG00000176819	43	41	31	61	47	33	36	45
ENSG00000193693	194	68	105	138	127	88	211	173
ENSG00000132351	406	144	244	265	323	354	347	305
ENSG00000157784	12662	10674	9339	10879	5492	7528	4790	4329
ENSG00000202483	207	378	324	207	314	184	253	186
ENSG00000224777	199	207	155	227	257	177	249	236
ENSG00000137340	282	118	331	104	258	62	250	118
ENSG00000191946	89	79	55	94	113	66	40	71
ENSG00000231975	55	64	77	38	63	32	39	16
ENSG00000154260	7757	6145	2846	2832	4824	8130	3616	2753
ENSG00000146340	2418	2074	2500	2385	2387	1071	3301	2331
ENSG00000131457	32	34	33	29	42	33	28	68
ENSG00000198190	261	158	111	184	241	156	220	340
ENSG00000235218	22	20	10	9	10	13	9	15
ENSG00000174195	2009	1713	2072	1566	1486	1294	1055	631
ENSG00000174800	938	690	826	738	465	829	812	480
ENSG00000190074	313	236	270	159	281	167	363	150
ENSG00000131559	18	11	25	20	44	35	19	23
ENSG00000189523	635	806	905	389	644	665	1067	713
ENSG00000145562	381	421	342	654	546	370	548	347
ENSG00000228321	118	102	139	124	171	113	68	115
ENSG00000209442	692	754	1115	317	271	742	296	227
ENSG00000245759	15	8	14	13	5	7	17	6
ENSG00000246927	20	76	41	35	40	54	54	58
ENSG00000201722	20	19	6	19	30	28	46	11
ENSG00000173517	364	160	343	147	593	188	464	335
ENSG00000113446	5979	1856	5781	3319	5184	3555	5797	3489
ENSG00000243278	268	110	214	262	135	209	148	177
ENSG00000195352	1457	1141	1854	1558	1339	1518	1624	2185
ENSG00000128402	139	113	278	131	131	207	207	140
ENSG00000151529	56	90	60	62	58	98	98	32
ENSG00000128785	1303	1323	1191	1252	890	888	637	1158
ENSG00000192769	284	578	670	260	509	324	711	473
ENSG00000229484	2365	3042	3245	2001	2919	2801	3447	3206
ENSG00000125582	2774	912	2172	1769	2634	1711	1620	1651
ENSG00000142211	31	18	22	23	22	18	14	71
ENSG00000130231	1	0	2	0	2	0	1	2
ENSG00000182068	162	230	311	112	187	259	245	115
ENSG00000124805	17	8	9	22	18	13	17	18
ENSG00000114498	8	2	12	10	9	8	8	13
ENSG00000145126	6	6	9	9	7	8	7	7
ENSG00000200869	55	29	66	35	90	60	76	55
ENSG00000143889	78	92	51	80	68	45	127	73
ENSG00000241627	160	74	252	159	123	95	253	127
