	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000205164	254	364	406	199	337	277	185	244	330	263	308	424
ENSG00000238802	215	159	91	197	230	143	225	57	154	193	81	227
ENSG00000249608	522	948	1008	1207	533	784	1432	837	1067	1028	1797	815
ENSG00000108978	826	1040	1615	1218	1712	652	553	701	1115	1387	597	1656
ENSG00000165970	129	106	203	251	165	65	193	173	117	114	136	192
ENSG00000231445	4198	3449	3904	3527	4469	2193	3938	3584	3056	3157	3008	2325
ENSG00000190666	4	4	3	3	2	2	1	8	3	1	4	3
ENSG00000133526	34	47	89	40	53	38	70	32	76	37	62	43
ENSG00000141795	224	192	163	206	233	208	350	274	160	323	353	254
ENSG00000191489	565	388	249	248	242	371	403	464	355	242	406	374
ENSG00000142638	166	226	175	105	138	221	110	129	153	91	130	98
ENSG00000186548	379	531	500	700	236	334	333	646	560	292	337	513
ENSG00000178788	14	13	13	10	12	15	20	16	7	19	5	15
ENSG00000225926	2	1	1	3	6	1	0	0	3	3	1	3
ENSG00000111180	943	424	596	813	1161	1328	1488	1068	296	461	703	945
ENSG00000121866	2178	3394	2493	2694	5453	8162	12116	8962	6729	5583	3753	7425
ENSG00000150576	98	166	168	217	548	694	498	361	397	318	329	288
ENSG00000109830	17	13	12	15	18	16	9	21	24	15	23	8
ENSG00000125605	47	30	31	66	54	28	24	45	52	28	39	33
ENSG00000151367	786	851	558	762	480	439	764	692	642	1018	502	321
ENSG00000207136	440	230	344	269	316	461	179	245	476	382	384	393
ENSG00000208476	2658	2789	3069	1772	2777	2268	1794	2219	2171	1883	3396	2810
ENSG00000216393	9187	4554	4372	3866	4411	6873	3783	6172	5162	4279	4624	7073
ENSG00000233698	3093	4708	1265	3890	1877	2005	1809	1842	1753	2431	3044	2544
ENSG00000241981	133	95	106	137	91	71	96	105	98	101	94	118
ENSG00000118175	2356	1350	1682	1084	1726	1866	1293	983	3306	1890	1679	1209
ENSG00000101980	438	612	468	285	342	355	311	665	338	369	322	664
ENSG00000219879	468	327	230	278	241	183	279	387	299	200	254	309
ENSG00000210332	291	270	217	226	320	295	261	308	186	215	217	258
ENSG00000183211	147	209	92	149	100	269	156	156	114	118	160	241
ENSG00000223692	15	34	41	14	15	31	17	17	14	17	32	26
ENSG00000117581	315	484	655	613	584	405	462	528	449	344	215	303
ENSG00000211154	30	29	31	72	53	63	37	33	50	68	22	39
ENSG00000114311	112	306	106	187	165	125	101	185	122	309	121	180
ENSG00000218839	459	604	1699	945	857	421	915	904	775	780	587	881
ENSG00000191048	703	844	1123	747	733	853	968	824	543	767	907	1147
ENSG00000194869	6	2	6	1	5	3	1	2	1	1	4	5
ENSG00000125154	38	70	26	28	20	71	34	6	39	23	32	43
ENSG00000224624	17	14	11	20	9	17	13	24	23	26	36	22
ENSG00000244851	171	544	216	189	282	140	342	129	373	282	221	227
ENSG00000164405	31	32	37	28	12	41	40	62	37	42	32	53
ENSG00000231619	1212	1223	1739	1091	632	666	1376	806	1088	277	834	820
ENSG00000225552	61	69	77	85	75	43	37	87	33	57	98	39
ENSG00000113803	357	682	651	322	428	383	278	579	502	602	367	295
ENSG00000125030	22	20	23	23	22	27	30	37	23	17	34	24
ENSG00000151577	38	25	58	38	36	58	25	21	46	49	54	23
ENSG00000215984	56	64	85	72	78	95	61	188	98	78	100	136
ENSG00000197728	477	355	514	573	690	619	285	200	298	432	482	444
ENSG00000232183	2	2	5	1	0	2	2	9	3	3	2	3
ENSG00000150174	246	203	282	118	186	245	220	83	181	157	235	106
ENSG00000175836	6	4	8	10	8	3	2	12	7	4	12	8
ENSG00000131135	176	171	285	317	342	209	308	92	401	287	197	220
ENSG00000214093	4	2	7	2	6	7	3	12	3	4	7	5
ENSG00000184815	81	130	112	59	93	49	54	62	78	62	69	79
ENSG00000243210	1473	1888	1935	1069	5641	7799	5225	6353	3033	2730	2701	3260
ENSG00000105846	2186	1621	2545	2782	2513	2712	1724	3634	1686	2225	3098	2648
ENSG00000182264	19	25	17	24	41	85	60	136	47	50	35	41
ENSG00000131972	6081	2618	2721	4067	8030	4904	3732	3829	4035	3338	4651	3775
ENSG00000159020	49	85	38	65	40	81	75	68	55	64	86	59
ENSG00000216977	176	98	146	164	186	137	171	168	122	139	201	82
ENSG00000171686	490	405	243	381	1659	1027	1528	1840	939	539	1027	1040
ENSG00000110254	190	300	186	233	142	165	286	388	328	70	199	237
ENSG00000183816	123	299	197	353	500	425	203	125	274	454	348	483
ENSG00000205909	315	201	126	191	178	218	264	279	130	224	263	217
ENSG00000140321	968	1100	1201	794	868	587	294	894	1349	1458	597	688
ENSG00000125464	283	257	78	93	349	115	80	139	306	277	184	228
ENSG00000158882	34	74	58	49	63	55	65	58	51	73	102	50
ENSG00000189788	15	15	10	23	17	13	18	18	8	20	13	15
ENSG00000236311	15	18	16	18	25	19	14	15	10	17	15	23
ENSG00000192666	162	144	125	112	127	247	103	183	141	202	94	146
ENSG00000236508	773	671	487	767	849	550	638	770	616	348	585	455
ENSG00000119444	350	165	344	188	312	184	311	228	173	196	355	309
ENSG00000234908	86	58	99	49	150	81	42	45	76	60	69	42
ENSG00000215627	246	168	199	345	271	488	327	384	197	401	478	238
ENSG00000217905	53	50	49	36	38	58	51	31	45	51	53	23
ENSG00000206801	227	206	262	186	181	138	173	170	196	157	196	109
ENSG00000227459	263	363	377	233	193	285	156	176	330	195	297	298
ENSG00000107829	78	86	61	45	83	59	73	47	44	92	57	69
ENSG00000159112	3282	2308	3743	3114	1484	1542	1413	1259	2203	1393	2807	626
ENSG00000197381	1542	1838	926	1272	1011	1698	1054	904	940	1046	1082	860
ENSG00000177456	69	31	70	45	103	52	50	54	81	108	80	93
ENSG00000152340	354	545	297	277	496	495	549	496	553	336	399	603
ENSG00000186440	205	283	210	258	282	195	254	213	172	286	184	172
ENSG00000202797	307	339	179	225	209	88	232	199	199	117	347	360
ENSG00000114969	170	110	245	372	251	432	178	188	160	382	213	192
ENSG00000236249	634	1759	3490	2195	1261	1357	1389	2439	1620	1517	1796	1134
ENSG00000218673	413	339	191	214	182	453	246	315	323	212	185	451
ENSG00000137270	305	208	300	333	255	92	218	218	397	277	356	232
ENSG00000101359	580	377	525	644	1802	851	809	443	684	441	1013	1239
ENSG00000197779	1023	474	421	919	4013	2549	5185	2622	1355	1809	1865	1853
ENSG00000239672	4110	2226	3806	2994	4248	2927	4097	3381	5836	4066	6477	4724
ENSG00000174072	25	39	39	35	33	43	41	50	23	24	43	23
ENSG00000180660	190	744	479	404	616	769	555	740	442	581	766	523
ENSG00000212228	4	1	6	3	6	2	2	6	4	5	2	5
ENSG00000232571	107	192	186	154	1003	673	1159	599	204	361	550	382
ENSG00000144247	8	5	14	9	19	9	8	19	19	21	2	7
ENSG00000194305	12	20	12	8	12	10	20	9	10	8	8	13
ENSG00000173336	149	112	128	131	176	110	115	69	118	81	94	82
ENSG00000104290	24	12	32	24	29	26	23	18	17	15	28	13
ENSG00000238231	31	73	89	123	58	87	83	49	72	72	61	117
ENSG00000197690	0	0	0	1	0	3	1	0	2	0	0	1
ENSG00000122789	2626	1188	1501	1453	1486	2078	2086	2387	1699	2361	1915	2066
ENSG00000236063	1	0	0	0	1	4	2	3	2	0	2	3
ENSG00000215240	36	29	25	52	28	29	24	43	58	37	43	30
ENSG00000159147	4817	4586	3705	3288	4625	5355	7079	4273	2587	4007	3748	4523
ENSG00000204464	3	12	9	13	8	10	8	8	9	15	12	2
ENSG00000111642	7398	8389	6959	4172	3391	4616	6506	5002	4413	3618	6734	3456
ENSG00000137761	777	1233	1560	805	2262	780	1140	1017	1305	1973	1752	1158
ENSG00000145439	150	133	133	112	148	82	79	150	102	130	148	185
ENSG00000226153	38	111	118	101	61	70	146	87	91	126	82	45
ENSG00000102052	99	121	125	80	116	115	158	129	77	138	69	90
ENSG00000104910	269	388	267	344	253	183	270	227	335	156	303	293
ENSG00000147209	805	836	988	833	770	847	1021	1816	950	577	1167	1181
ENSG00000178141	1994	1513	1437	1921	1868	2759	2865	2063	2836	1948	2647	1576
ENSG00000167173	1	4	2	1	5	2	3	1	9	3	3	4
ENSG00000113730	484	645	1027	712	1377	1092	689	540	1203	740	757	404
ENSG00000196677	604	412	251	960	432	558	444	272	429	468	528	472
ENSG00000232472	12	19	11	9	17	21	10	15	13	15	19	28
ENSG00000192275	797	995	1151	1551	1526	1058	644	1228	665	882	873	827
ENSG00000117971	1495	944	806	808	1506	904	815	1102	1071	1366	720	1158
ENSG00000106598	1065	809	1355	947	1164	643	1018	1029	914	777	687	488
ENSG00000163643	112	201	105	174	157	198	156	99	120	167	104	68
ENSG00000225568	269	664	504	841	969	814	726	888	652	597	920	622
ENSG00000159221	1858	2200	1050	1525	9659	5527	5115	4244	2950	3668	2941	4299
ENSG00000248374	76	62	32	66	45	48	52	34	35	54	30	65
ENSG00000175855	55	119	68	82	45	26	55	114	44	57	54	37
ENSG00000163541	97	63	32	57	57	36	49	47	66	46	39	53
ENSG00000139321	1313	1123	2128	2334	1623	1476	1660	1447	2034	3416	1044	1269
ENSG00000143097	185	164	277	245	182	171	154	185	209	221	134	139
ENSG00000106953	39	38	30	27	32	48	57	38	45	64	44	37
ENSG00000170090	46	31	23	19	26	14	17	27	25	20	25	21
ENSG00000135526	16	14	9	13	16	6	23	20	17	14	21	10
ENSG00000117127	333	285	104	360	449	197	244	271	297	386	276	351
ENSG00000239046	1181	1111	1220	811	688	1190	838	516	1479	550	1062	934
ENSG00000168781	1899	1888	1995	1619	1600	2207	3125	2915	993	2413	2339	1520
ENSG00000141776	10	31	21	23	18	21	10	24	16	21	23	18
ENSG00000155210	49	29	25	57	25	25	41	16	25	20	14	29
ENSG00000196621	31	26	29	22	32	14	38	26	22	14	28	29
ENSG00000141254	31	30	26	35	26	19	42	28	26	43	29	38
ENSG00000232479	13	7	9	6	7	3	15	13	7	4	12	15
ENSG00000113061	3468	2572	4204	2404	2133	2089	2009	2240	1402	2011	3934	3973
ENSG00000240524	354	356	290	514	491	319	347	281	493	395	393	243
ENSG00000171901	55	47	54	70	224	161	238	239	121	113	51	129
ENSG00000233335	2	1	1	3	4	0	0	3	0	6	0	2
ENSG00000104025	2005	2076	2881	2307	2085	2880	2383	3721	1440	2014	1907	2656
ENSG00000209556	814	838	550	1402	1116	1191	952	1006	365	986	573	696
ENSG00000123250	374	205	215	158	136	145	275	264	140	172	82	203
ENSG00000190063	485	727	593	666	591	414	329	393	838	629	299	504
ENSG00000208894	63	48	23	16	45	38	26	49	34	32	26	47
ENSG00000125495	223	486	301	358	967	584	474	594	458	679	828	767
ENSG00000117649	52	66	57	64	42	36	29	62	21	64	51	40
ENSG00000148161	587	419	348	372	347	439	353	407	244	200	515	535
ENSG00000176108	154	118	107	125	65	155	88	89	63	88	73	152
ENSG00000163660	6	12	10	8	29	4	7	8	13	4	5	9
ENSG00000241775	18	10	11	5	17	11	18	30	25	19	13	25
ENSG00000167327	918	1033	1558	237	1598	1761	1442	721	1343	1512	1400	1467
ENSG00000175767	758	850	945	1059	5370	3213	4087	2755	3116	1094	1035	2532
ENSG00000223996	125	100	113	77	107	76	89	84	129	60	127	58
ENSG00000131505	27	14	52	37	47	48	51	23	43	47	23	63
ENSG00000184197	64	59	53	88	47	68	85	45	52	44	30	64
ENSG00000110377	285	571	508	385	1226	783	1294	582	253	767	691	689
ENSG00000216069	10	8	13	11	10	8	10	14	6	12	7	5
ENSG00000248367	954	1168	761	1264	633	751	765	771	986	955	1554	1065
ENSG00000169632	41	29	31	45	28	19	25	21	28	22	26	22
ENSG00000184176	25	20	24	11	14	21	23	14	22	27	13	9
ENSG00000154448	92	90	118	175	865	560	561	416	407	366	141	274
ENSG00000175225	7561	7155	3153	10740	6746	7103	6515	3851	6524	5280	6101	9169
ENSG00000159082	56	30	30	59	40	45	44	56	20	54	21	38
ENSG00000236540	39	69	38	88	73	67	73	31	67	61	57	29
ENSG00000219294	14	18	10	13	10	9	19	11	15	12	14	18
ENSG00000162242	303	231	141	209	213	212	162	337	282	187	224	419
ENSG00000146812	337	134	345	352	288	234	326	293	303	163	286	175
ENSG00000181123	214	108	236	227	179	114	244	87	101	164	280	150
ENSG00000180152	40	55	85	75	56	39	70	62	42	111	52	76
ENSG00000151522	489	137	213	205	288	277	363	268	275	393	176	256
ENSG00000200279	1031	675	777	896	525	254	550	880	293	664	615	1149
ENSG00000137832	69	36	59	30	70	60	62	79	64	73	81	39
ENSG00000157683	138	78	65	217	96	74	77	67	82	109	58	62
ENSG00000242607	34	24	27	58	64	32	40	45	52	38	49	21
ENSG00000164443	48	34	45	52	46	41	33	58	32	71	26	37
ENSG00000161407	1262	1940	1251	1530	1187	1100	1781	957	1827	1406	1484	1046
ENSG00000101460	15	27	13	12	19	17	50	31	21	31	17	12
ENSG00000115569	200	276	257	199	180	109	217	179	218	157	285	171
ENSG00000195647	1422	905	1537	1276	1628	1570	796	1310	1348	1739	1332	652
ENSG00000232124	51	41	46	39	56	31	61	60	94	27	58	48
ENSG00000147580	457	504	647	298	390	335	476	432	468	281	553	387
ENSG00000100424	521	843	674	1214	1730	2779	1704	3105	1209	1169	2020	834
ENSG00000245437	7	6	6	7	12	8	3	12	3	10	4	10
ENSG00000209059	838	950	678	888	941	1155	1603	1287	787	913	627	1248
ENSG00000199037	12	22	13	19	12	16	7	18	14	20	25	20
ENSG00000144379	141	111	208	181	143	135	119	299	174	195	189	169
ENSG00000225694	5	7	2	9	5	10	11	15	9	9	4	6
ENSG00000168919	7	6	5	5	3	5	7	7	4	10	8	7
ENSG00000126122	65	84	73	73	123	50	72	63	82	58	110	57
ENSG00000249768	1977	4140	4514	1577	5042	4517	4909	3612	4106	2494	2832	3449
ENSG00000179514	29270	23022	19616	20047	15328	10885	17592	40327	12941	26137	12944	20132
ENSG00000217966	33815	26023	19594	38487	30071	31326	37268	35295	31718	23981	25999	32282
ENSG00000229018	2133	3769	1850	2382	1444	1388	1716	1992	1666	3605	2008	1614
ENSG00000141083	3305	1365	1378	729	1333	1215	1900	1492	1669	1658	2025	1395
ENSG00000215198	810	712	947	597	676	613	579	768	445	544	664	611
ENSG00000231021	525	274	469	478	1532	1168	3290	2571	1643	860	860	1584
ENSG00000217938	63	25	76	68	50	60	84	56	92	78	76	62
ENSG00000199511	32	35	79	42	41	36	27	64	45	129	46	46
ENSG00000193543	381	342	324	407	228	468	204	388	316	251	214	274
ENSG00000230542	321	425	382	256	225	465	540	373	343	479	249	168
ENSG00000107127	38	39	56	34	52	77	38	36	37	52	43	25
ENSG00000221409	10	11	11	13	39	61	29	51	62	16	36	22
ENSG00000241289	37	33	24	45	26	24	60	48	54	46	48	41
ENSG00000101354	46467	40522	85045	52874	41022	36034	63800	64595	60462	43569	82266	33448
ENSG00000239361	32	62	26	37	35	31	31	18	17	57	42	34
ENSG00000128628	3877	3106	1903	2368	4495	3779	2232	2703	2848	3275	3309	3616
ENSG00000192174	2282	1887	1537	1245	2401	1743	1740	2792	1521	2189	2348	1460
ENSG00000173514	1347	1091	1017	1584	1708	1093	961	1633	501	957	911	604
ENSG00000238527	52	51	29	50	31	29	38	13	46	57	27	24
ENSG00000139216	5640	8416	9292	8648	8412	7621	10105	6554	9281	7208	6657	6638
ENSG00000202339	291	266	297	278	390	189	275	177	307	297	349	369
ENSG00000195226	46	24	40	57	38	33	55	40	60	33	73	37
ENSG00000138936	29	43	23	58	129	204	68	161	67	69	37	79
ENSG00000174989	117	72	80	77	153	117	88	112	64	106	90	149
ENSG00000169703	5607	7131	7741	8325	7086	10019	13168	7450	13755	8359	9541	16376
ENSG00000173076	10	9	10	14	11	17	9	6	6	7	10	11
ENSG00000177731	46	17	52	34	43	27	46	28	35	25	41	41
ENSG00000228034	86	160	187	106	205	134	197	308	123	142	196	118
ENSG00000202918	350	498	675	341	406	346	353	195	280	470	375	421
ENSG00000138283	23	20	7	9	8	18	8	8	20	30	31	16
ENSG00000133300	21	16	10	14	43	30	16	28	19	20	11	33
ENSG00000125318	42	46	35	33	56	66	70	47	70	31	65	42
ENSG00000151202	951	499	408	744	3034	1826	2694	2120	1293	1271	1770	1550
ENSG00000228168	185	121	173	70	435	516	274	429	223	174	176	217
ENSG00000157796	71	127	86	133	60	75	74	103	108	129	139	120
ENSG00000188932	260	150	129	186	200	203	254	96	212	260	197	214
ENSG00000197802	225	163	487	123	295	140	224	150	236	205	209	181
ENSG00000212559	669	1079	979	1421	914	557	725	1038	975	1127	843	924
ENSG00000166820	54	31	40	24	26	56	33	38	21	39	66	50
ENSG00000232992	176	273	194	163	158	205	102	106	153	131	105	242
ENSG00000150616	43	31	53	68	38	25	48	40	33	47	27	22
ENSG00000135933	539	564	410	603	3900	1792	3717	1672	1697	795	1207	1495
ENSG00000189954	1172	634	530	645	579	1005	971	833	605	756	638	443
ENSG00000103989	87	98	127	108	96	121	82	70	59	96	84	183
ENSG00000165147	957	2035	1395	2297	5772	3477	6637	5256	2740	2312	1558	2791
ENSG00000124442	57	159	177	50	142	120	167	187	46	90	111	93
ENSG00000162815	1639	1521	2720	1985	2287	3788	2835	2350	4318	1486	2865	2154
ENSG00000230098	36	47	57	32	57	53	47	78	96	67	43	86
ENSG00000124116	64	101	49	69	93	46	59	58	42	55	40	58
ENSG00000224169	10	9	4	11	9	5	6	8	5	2	10	9
ENSG00000111328	13	20	17	19	18	20	17	10	18	14	27	24
ENSG00000160366	50	62	83	63	49	36	67	54	60	61	100	120
ENSG00000143296	1	0	2	0	4	2	0	5	1	3	2	4
ENSG00000134722	156	148	138	199	227	131	86	124	191	76	117	133
ENSG00000230808	720	626	962	1096	232	1333	1000	639	1176	880	1115	448
ENSG00000142275	446	336	242	286	357	524	386	317	493	390	372	573
ENSG00000224919	433	307	269	168	261	197	175	235	182	226	229	244
ENSG00000108626	466	690	422	612	869	561	600	396	1079	781	585	679
ENSG00000175249	40	51	43	66	220	252	160	114	94	98	117	58
ENSG00000235407	55	55	36	107	45	60	50	54	39	51	34	65
ENSG00000189613	962	642	1038	904	849	947	1563	699	1031	561	736	837
ENSG00000234196	112	113	96	117	88	69	88	110	131	111	85	85
ENSG00000215999	1573	834	1220	1447	1070	1067	1085	1017	991	609	924	1234
ENSG00000165761	43	40	38	60	74	50	57	29	53	59	79	52
ENSG00000235215	500	609	668	546	386	720	563	426	527	324	479	845
ENSG00000235008	1411	2021	2385	2222	1075	1355	2062	1926	1869	1909	1112	1914
ENSG00000228457	189	92	179	108	112	100	117	74	102	128	116	180
ENSG00000138314	6337	4100	5244	6312	12784	9756	13496	12746	9536	7356	7185	12327
ENSG00000177840	5233	4551	4308	2263	4309	2292	2277	4052	4772	2969	3369	3866
ENSG00000156459	1	3	2	1	0	1	0	6	1	1	1	1
ENSG00000159871	28660	23165	45278	37897	21687	32459	13174	16761	28845	38601	39253	31592
ENSG00000193570	7	4	7	5	9	5	8	5	4	6	3	5
ENSG00000101400	21934	16602	15198	31120	17168	9042	16555	16768	39504	10031	12103	15203
ENSG00000211786	32	50	25	34	101	69	113	78	36	40	55	58
ENSG00000240460	3	5	2	2	1	1	5	4	5	4	5	1
ENSG00000211022	10	8	11	14	4	7	15	8	13	10	5	6
ENSG00000100673	418	214	714	193	950	597	989	1396	1238	892	655	281
ENSG00000245635	15	13	22	18	56	69	84	83	39	40	43	36
ENSG00000208925	55	25	39	53	45	42	48	48	38	33	41	58
ENSG00000160752	1682	1974	1344	1590	586	2971	1783	1151	1356	2337	2416	2351
ENSG00000162296	19	19	17	29	9	16	7	15	13	11	29	12
ENSG00000132814	347	442	520	258	327	197	333	486	400	503	272	400
ENSG00000198187	2349	2850	1081	2456	1065	1850	1614	1694	2717	1889	3472	2142
ENSG00000164734	8	3	2	4	5	2	6	3	3	1	3	0
ENSG00000172230	12	22	18	22	20	15	14	24	9	20	17	18
ENSG00000185961	400	370	322	420	270	217	271	110	241	100	157	154
ENSG00000151313	103	119	132	170	107	166	68	152	50	180	132	148
ENSG00000118906	330	404	356	234	1038	1262	1069	1173	553	761	457	529
ENSG00000156728	1	3	2	5	2	1	3	4	3	3	1	1
ENSG00000210813	15	44	11	16	20	23	14	16	20	34	34	18
ENSG00000188822	283	201	449	286	397	344	183	311	154	200	192	288
ENSG00000107276	481	641	420	332	1895	2459	3191	2771	864	1050	609	1250
ENSG00000116035	1653	2056	2529	3344	8536	8856	4975	3498	4454	7190	4728	2506
ENSG00000217510	23	56	70	73	90	62	49	81	97	59	112	80
ENSG00000141897	49	27	33	23	36	28	52	41	42	29	25	19
ENSG00000174786	31	15	16	16	12	12	15	28	24	33	9	37
ENSG00000172367	41	16	38	18	26	41	26	30	35	32	24	30
ENSG00000193711	1	1	3	6	3	2	0	5	0	0	3	1
ENSG00000108471	4975	3977	7107	2870	4596	5150	3463	4710	4823	5918	6918	3978
ENSG00000205352	35	33	57	43	88	75	61	38	78	52	40	93
ENSG00000223017	47	47	43	36	43	32	26	35	26	27	24	26
ENSG00000249726	30	61	54	36	36	62	51	88	23	66	60	43
ENSG00000226349	290	402	646	329	495	321	408	241	357	454	296	493
ENSG00000246772	217	154	97	106	110	114	107	107	168	93	84	201
ENSG00000225431	44	18	47	38	25	43	13	41	25	43	40	27
ENSG00000144720	735	467	826	632	1167	950	1552	1267	1142	1263	1544	1429
ENSG00000228788	144	331	196	162	366	213	112	98	250	161	395	349
ENSG00000111689	43	122	46	160	65	147	81	70	72	98	51	101
ENSG00000106254	226	196	187	110	599	847	1023	536	354	188	295	229
ENSG00000187149	1574	881	1219	1396	856	1209	1066	772	1971	1601	1596	1271
ENSG00000249232	378	818	395	686	509	796	780	624	196	345	285	549
ENSG00000211978	117	146	74	112	62	116	152	92	113	121	69	130
ENSG00000190352	907	732	1085	781	950	732	782	1165	958	450	683	1244
ENSG00000182689	1	4	1	0	1	0	5	1	2	3	4	0
ENSG00000157611	354	864	794	738	576	508	556	455	941	641	659	522
ENSG00000185977	29	22	33	25	28	43	25	49	25	24	18	44
ENSG00000126661	51	46	17	38	36	44	38	21	41	42	27	21
ENSG00000119894	79	141	93	84	173	81	96	63	117	94	78	81
ENSG00000140045	5357	10220	3783	6105	4907	7015	4369	6538	8942	9672	7009	7210
ENSG00000196572	121	93	119	61	139	105	111	93	103	56	116	78
ENSG00000120737	82	110	148	65	121	83	70	89	118	91	87	134
ENSG00000127773	603	394	370	308	469	264	513	265	475	412	266	582
ENSG00000102127	0	5	1	6	3	1	6	8	5	2	2	2
ENSG00000101317	67	153	121	80	530	385	444	204	132	90	255	152
ENSG00000190453	739	419	1105	523	295	326	501	408	901	509	764	540
ENSG00000104508	12	26	21	16	27	16	22	11	14	19	12	20
ENSG00000205926	497	294	572	495	428	186	494	315	329	670	385	543
ENSG00000170905	32	27	8	52	79	125	119	76	69	84	62	47
ENSG00000218921	2	5	8	9	7	7	9	13	7	4	11	13
ENSG00000188200	581	900	707	673	716	956	636	1858	677	879	707	916
ENSG00000129668	219	97	120	238	110	175	277	271	249	161	219	203
ENSG00000171342	579	416	523	580	453	680	664	515	666	391	636	933
ENSG00000181350	167	217	164	254	196	138	233	173	369	280	239	141
ENSG00000194137	29	19	8	23	18	9	21	17	22	25	11	11
ENSG00000202203	1529	1700	1394	1661	1825	537	1664	1454	1612	992	1522	878
ENSG00000210863	411	253	272	223	1575	1996	1217	1631	298	532	378	551
ENSG00000120029	175	298	283	244	300	340	314	322	323	435	364	417
ENSG00000167439	43	61	50	71	324	199	183	230	106	135	270	224
ENSG00000212433	18	15	15	19	14	13	8	25	14	23	15	20
ENSG00000227660	2471	3029	2981	2262	2225	1874	3291	3415	2195	2438	1211	2923
ENSG00000190587	681	1012	568	1151	673	1489	985	1111	1313	935	755	451
ENSG00000222291	207	300	146	195	99	220	257	225	198	216	108	128
ENSG00000115446	37	34	66	32	53	34	28	60	75	65	28	58
ENSG00000236332	2901	2256	1705	2944	1988	1242	996	2878	1892	2293	1680	4139
ENSG00000106586	10	15	28	33	97	121	149	108	39	62	56	47
ENSG00000173753	26	41	38	22	58	17	24	46	28	36	22	41
ENSG00000106059	7702	20929	6114	8416	9207	7910	12009	13091	10047	9377	7289	12703
ENSG00000198680	846	721	730	513	541	180	510	578	332	427	244	486
ENSG00000216551	1411	780	803	905	1082	987	1607	1283	611	747	1486	958
ENSG00000205734	1102	788	1597	845	433	376	493	753	674	582	1046	588
ENSG00000245066	10633	22794	11788	11384	7564	12419	15443	11596	11249	8387	13191	21379
ENSG00000240718	251	302	508	364	323	298	466	214	395	277	398	320
ENSG00000130068	464	733	502	353	436	443	408	428	519	442	438	271
ENSG00000233851	11	23	27	31	12	25	26	21	41	40	16	42
ENSG00000120785	203	113	174	253	183	189	102	236	117	172	98	89
ENSG00000100090	9	12	7	9	13	15	14	9	10	4	8	5
ENSG00000133275	72	50	106	116	94	81	80	61	47	118	73	76
ENSG00000117866	134	226	214	151	84	163	117	200	166	179	173	168
ENSG00000192107	475	936	836	543	928	506	851	477	752	613	897	623
ENSG00000213454	1895	1546	2091	1843	2956	3507	1943	3848	1600	2240	2077	2794
ENSG00000220600	46	41	35	70	181	165	156	132	61	25	57	64
ENSG00000157760	18	26	13	13	18	31	23	18	15	20	16	29
ENSG00000205616	418	187	181	142	219	386	148	392	149	213	247	306
ENSG00000165729	20	31	28	17	46	41	34	38	39	20	30	39
ENSG00000122994	3862	2923	4325	4976	4781	5631	4596	4103	3938	2964	6728	8127
ENSG00000220194	2150	2226	1666	1285	1789	1746	2432	1716	3098	1653	2158	1130
ENSG00000159236	38	21	11	36	15	42	21	9	42	10	12	14
ENSG00000225404	299	301	136	164	161	296	276	231	282	154	338	242
ENSG00000179283	2240	872	1583	1294	1864	1966	1810	1850	1518	2009	3159	1594
ENSG00000191914	41	32	38	40	24	16	21	12	28	18	30	42
ENSG00000183671	106	61	58	90	66	111	49	67	73	64	22	60
ENSG00000202890	74	136	151	129	79	151	115	181	63	174	104	161
ENSG00000233647	2666	1930	2721	2387	1315	2863	3555	1660	2607	1741	2664	1798
ENSG00000176389	363	444	180	551	448	349	683	353	296	696	550	480
ENSG00000133734	66	127	102	120	96	85	137	82	63	71	68	124
ENSG00000228388	406	201	308	746	373	462	143	301	293	148	448	359
ENSG00000240781	114	165	138	155	129	170	208	186	190	138	150	102
ENSG00000198456	174	325	298	244	239	110	212	316	298	204	198	129
ENSG00000214766	348	641	464	291	543	541	338	613	377	440	351	812
ENSG00000210456	150	217	297	480	411	256	247	291	309	352	182	207
ENSG00000229347	436	520	511	736	821	688	555	559	317	424	357	620
ENSG00000143010	166	112	242	116	181	202	142	133	106	176	230	139
ENSG00000191529	132	42	64	89	83	53	87	115	40	71	139	81
ENSG00000150160	88	65	94	65	47	87	55	73	53	106	113	101
ENSG00000168435	5	8	4	8	11	7	9	5	5	5	8	5
ENSG00000247387	92	61	59	35	35	54	41	88	66	48	66	63
ENSG00000214946	5141	5904	3750	6748	10166	3368	5423	6122	4833	3012	4675	10842
ENSG00000236183	173	211	139	78	146	101	108	121	176	88	104	165
ENSG00000199242	392	543	441	285	303	366	298	389	389	404	704	506
ENSG00000178443	1146	691	698	767	1040	1428	633	310	774	1055	494	538
ENSG00000140052	47	60	33	64	56	87	36	88	82	66	41	43
ENSG00000183300	69	88	69	57	157	41	76	98	86	57	79	63
ENSG00000123508	605	463	253	400	217	556	594	677	227	360	365	357
ENSG00000248993	17	31	29	14	26	10	12	26	28	10	29	22
ENSG00000234141	534	957	368	570	972	1049	504	1018	969	637	880	873
ENSG00000240457	519	761	565	576	317	387	561	910	542	535	1087	330
ENSG00000235641	252	198	186	123	157	296	333	272	312	200	182	202
ENSG00000234999	297	340	153	180	1336	1056	637	1443	688	337	294	270
